I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
101650.000000,604.818481,596.494202,492.062408,603.569458,-0.746064,-2.862400,0.964538,-0.006291,600.888000
101660.000000,604.818481,596.494202,492.062408,607.470215,-0.813911,-2.863839,-0.156071,-0.003793,601.087402
101670.000000,602.603943,594.263977,487.376434,610.651611,-0.883327,-2.858554,0.874813,-0.001964,601.241516
101680.000000,602.603943,594.263977,486.556274,610.739990,-0.979319,-2.826645,0.327443,-0.000261,601.400635
101690.000000,603.432007,595.966675,487.376434,612.843079,-1.060174,-2.784736,0.937365,0.003876,601.832458
101700.000000,603.432007,595.966675,489.915222,612.843079,-1.145892,-2.734692,0.095129,0.006802,602.178406
101710.000000,603.432007,595.629761,496.715393,610.061279,-1.212954,-2.693162,-0.191178,0.006205,602.183655
101720.000000,610.305542,595.629761,489.915222,610.061279,-1.260007,-2.650158,-0.452871,0.011146,602.764648
101730.000000,610.328125,595.489197,492.295563,610.061279,-1.288560,-2.606231,0.139387,0.014567,603.235291
101740.000000,610.305542,594.304077,492.295563,609.100403,-1.298548,-2.571511,-0.025767,0.015763,603.506531
101750.000000,605.373596,594.304077,492.295563,604.099548,-1.321309,-2.534589,-0.283088,0.010022,603.061401
101760.000000,605.373596,596.197021,495.357727,604.099548,-1.351557,-2.502922,0.208999,0.005892,602.727905
101770.000000,607.382141,597.122009,495.530151,604.099548,-1.398274,-2.457420,-0.467824,0.004260,602.615479
101780.000000,607.382141,597.122009,495.658569,602.143921,-1.436956,-2.436829,0.002507,0.001507,602.369019
101790.000000,607.347534,598.855957,496.797150,602.143921,-1.473455,-2.427691,-0.909262,0.000179,602.244629
101800.000000,607.347534,598.855957,498.841492,602.278625,-1.521387,-2.436340,-0.191331,-0.001099,602.112244
101810.000000,608.126953,600.723877,498.841492,603.213623,-1.554213,-2.445150,-2.362861,0.000232,602.241028
101820.000000,608.126953,600.723877,499.916260,603.322876,-1.603966,-2.453731,-0.647258,0.001227,602.347778
101830.000000,607.963013,599.643250,499.916260,603.322876,-1.628173,-2.465548,-1.241931,0.001194,602.356628
101840.000000,607.963013,599.643250,499.916260,602.492004,-1.678296,-2.475578,0.090611,0.000581,602.304199
101850.000000,607.963013,596.612427,499.974396,597.432739,-1.721424,-2.482957,0.290852,-0.005344,601.687805
101860.000000,609.854736,595.459656,505.053528,595.557190,-1.774080,-2.495386,0.537720,-0.011711,600.965820
101870.000000,611.528503,595.459656,506.007416,594.628601,-1.821838,-2.515442,1.355580,-0.016513,600.344482
101880.000000,615.641785,595.373779,505.053528,594.628601,-1.864304,-2.537057,0.591890,-0.017862,600.037659
101890.000000,611.528503,597.153564,502.139923,594.760986,-1.915259,-2.552101,1.683919,-0.019127,599.726196
101900.000000,610.217285,597.153564,502.139923,594.760986,-1.946912,-2.567127,0.064770,-0.020558,599.384705
101910.000000,610.217285,597.153564,503.152679,588.884827,-1.991717,-2.575880,1.005647,-0.025253,598.686096
101920.000000,615.051392,598.104248,509.223175,580.954102,-2.025424,-2.574803,-0.252505,-0.031280,597.800720
101930.000000,615.051392,600.917175,509.223175,570.027405,-2.045975,-2.567471,0.068278,-0.041337,596.431946
101940.000000,613.039856,600.917175,509.223175,570.027405,-2.050181,-2.555539,-0.465865,-0.049219,595.191040
101950.000000,613.028381,600.917175,510.280060,585.997742,-2.023161,-2.560014,-0.689058,-0.045071,595.134399
101960.000000,613.039856,600.983887,512.233459,585.997742,-2.002698,-2.547834,-0.495654,-0.041151,595.095215
101970.000000,609.251648,600.983887,512.233459,587.967346,-1.952930,-2.540034,-1.426818,-0.037951,595.019836
101980.000000,616.135864,600.983887,512.174622,589.871460,-1.912640,-2.517465,-1.198149,-0.029922,595.483276
101990.000000,609.251648,602.127136,510.190430,589.871460,-1.851742,-2.502829,-1.504962,-0.025275,595.671997
102000.000000,615.646790,605.223877,512.174622,583.637878,-1.763153,-2.504561,-0.385285,-0.019848,595.989075
102010.000000,608.815125,605.223877,509.911896,579.539978,-1.674912,-2.504864,-0.650856,-0.020680,595.703247
102020.000000,614.949219,603.546875,511.753357,583.637878,-1.575267,-2.526824,-0.219795,-0.016778,595.906189
102030.000000,608.815125,602.900879,509.911896,582.341492,-1.490489,-2.543790,-1.181560,-0.017421,595.670837
102040.000000,614.187561,602.051514,508.502563,582.341492,-1.410788,-2.559245,-0.546659,-0.015165,595.733521
102050.000000,612.353943,602.900879,508.502563,567.274231,-1.306674,-2.569614,-1.328945,-0.022391,594.823059
