I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10354.000000,-0.078798,-0.414815,0.055802,0.045689,-0.043451,-0.998046,2.427135,2.019046,0.279279,92.515961,118.673851,101.416458,100.765686,-0.002687,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10355.000000,-0.077973,-0.414204,0.049876,0.045692,-0.043468,-0.998017,2.427152,2.019112,0.279268,92.515961,118.673851,101.416458,100.765686,-0.002846,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10356.000000,-0.075364,-0.412341,0.044382,0.045695,-0.043497,-0.998003,2.427173,2.019180,0.279257,92.515961,118.673851,101.416458,100.765686,-0.003003,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10357.000000,-0.073783,-0.411038,0.042128,0.045691,-0.043502,-0.997987,2.427195,2.019249,0.279246,92.515961,118.673851,101.416458,100.765686,-0.003157,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10358.000000,-0.075199,-0.412384,0.046158,0.045692,-0.043517,-0.997996,2.427217,2.019317,0.279235,92.515961,118.673851,101.416458,100.765686,-0.003307,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10362.000000,-0.078421,-0.416647,0.054007,0.045686,-0.043540,-0.997996,2.427235,2.019380,0.279224,93.514572,117.674751,101.416924,107.754837,-0.003381,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10363.000000,-0.118345,-0.418746,0.057239,0.045666,-0.043656,-0.998020,2.427236,2.019609,0.279179,93.514572,117.674751,101.416924,107.754837,-0.003664,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10364.000000,-0.129672,-0.413124,0.051579,0.045664,-0.043687,-0.998025,2.427208,2.019674,0.279168,93.514572,117.674751,101.416924,107.754837,-0.003731,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10365.000000,-0.135314,-0.407820,0.046859,0.045654,-0.043688,-0.998024,2.427175,2.019746,0.279158,93.514572,117.674751,101.416924,107.754837,-0.003797,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10366.000000,-0.134465,-0.404343,0.044413,0.045650,-0.043689,-0.998019,2.427143,2.019819,0.279147,93.514572,117.674751,101.416924,107.754837,-0.003862,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10367.000000,-0.128370,-0.402750,0.043372,0.045648,-0.043696,-0.998014,2.427117,2.019895,0.279137,93.514572,117.674751,101.416924,107.754837,-0.003926,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10368.000000,-0.119344,-0.401930,0.043057,0.045642,-0.043698,-0.998017,2.427101,2.019971,0.279127,93.514572,117.674751,101.416924,107.754837,-0.003988,104.850479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10371.000000,-0.110423,-0.401811,0.043550,0.045631,-0.043704,-0.998019,2.427093,2.020047,0.279117,92.516190,115.677032,103.414413,108.753304,-0.004000,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10372.000000,-0.102089,-0.405236,0.047716,0.045615,-0.043757,-0.998019,2.427095,2.020193,0.279096,92.516190,115.677032,103.414413,108.753304,-0.004024,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10373.000000,-0.097331,-0.413844,0.057917,0.045591,-0.043809,-0.998035,2.427109,2.020322,0.279075,92.516190,115.677032,103.414413,108.753304,-0.004047,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10374.000000,-0.092450,-0.420262,0.060957,0.045580,-0.043825,-0.998032,2.427124,2.020378,0.279064,92.516190,115.677032,103.414413,108.753304,-0.004059,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10375.000000,-0.086839,-0.428393,0.059029,0.045561,-0.043849,-0.998035,2.427145,2.020424,0.279053,92.516190,115.677032,103.414413,108.753304,-0.004069,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10376.000000,-0.082010,-0.438086,0.052860,0.045545,-0.043853,-0.998048,2.427172,2.020461,0.279041,92.516190,115.677032,103.414413,108.753304,-0.004080,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10377.000000,-0.078991,-0.447180,0.045006,0.045539,-0.043851,-0.998075,2.427200,2.020488,0.279029,92.516190,115.677032,103.414413,108.753304,-0.004091,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10378.000000,-0.077530,-0.454479,0.037383,0.045536,-0.043835,-0.998085,2.427230,2.020507,0.279017,92.516190,115.677032,103.414413,108.753304,-0.004101,104.927208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10382.000000,-0.077744,-0.461604,0.031985,0.045539,-0.043849,-0.998103,2.427259,2.020519,0.279004,96.510223,118.671982,106.410240,105.757698,-0.003898,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10383.000000,-0.096264,-0.491462,0.031888,0.045575,-0.044064,-0.998187,2.427355,2.020497,0.278951,96.510223,118.671982,106.410240,105.757698,-0.003125,105.538521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
