I0,I1,I2,I3,I4,I5,I6
20613.000000,-29.493055,12.870888,6.093821,0.496582,0.215332,-1.054199
20614.000000,-24.310127,15.736741,5.727966,-0.596191,0.249023,-0.484863
20615.000000,-24.310127,15.736741,5.727966,-0.596191,0.249023,-0.484863
20616.000000,-22.968664,15.736741,2.252357,-0.498047,-0.042480,-0.282715
20617.000000,-15.041835,9.029424,1.398698,0.807617,-0.026855,-1.126465
20618.000000,-17.846712,17.992838,2.496259,-0.778809,-0.692383,-2.102539
20619.000000,-18.517445,11.224546,1.642601,0.591797,0.608887,-1.266602
20620.000000,-14.858908,18.358692,5.179186,-0.882324,-0.363770,-1.073242
20621.000000,-22.297932,15.431863,2.801137,0.832031,0.575684,-0.466309
20622.000000,-12.419884,18.724545,1.154796,-0.549805,-0.118652,-0.464355
20623.000000,-26.139397,8.236741,2.862113,0.875977,0.033203,-1.283203
20624.000000,-8.639396,15.431863,-0.918375,-1.470703,-0.488770,-0.509277
20625.000000,-32.054031,10.431863,3.288942,0.597168,0.541992,-1.011719
20626.000000,-7.602810,12.139180,1.520650,-0.661621,-0.137207,-0.706055
20627.000000,-31.932079,15.005034,4.264552,0.167480,0.754395,-0.814941
20629.000000,-28.639397,14.212351,2.496259,-0.090820,0.692871,-0.711914
20629.000000,-28.639397,14.212351,2.496259,-0.090820,0.692871,-0.711914
20630.000000,-9.127200,12.748937,-1.223253,0.139648,-0.892090,-1.458984
20631.000000,-27.297932,14.944058,1.398698,-0.506348,0.003906,-1.466797
20632.000000,-13.639396,10.980643,2.252357,0.553223,0.069336,-1.698730
20633.000000,-19.980860,14.883082,1.398698,-1.147949,0.156250,-1.036621
20634.000000,-15.468664,16.895277,1.337723,1.186523,0.071289,-1.149902
20635.000000,-16.993053,19.090399,0.666991,-0.866211,0.082520,-0.665039
20636.000000,-19.310127,8.663570,0.118210,1.372070,-0.033691,-1.213379
20637.000000,-14.797933,16.407473,0.301137,-1.985840,-0.969727,-0.431152
20638.000000,-9.188176,10.370888,0.910893,-2.206055,0.034668,-0.036133
20639.000000,-9.188176,10.370888,0.910893,-2.206055,0.034668,-0.036133
20640.000000,-28.395494,17.383081,1.764552,1.762695,0.979004,-1.539063
20641.000000,-4.310127,16.285521,-0.552521,-1.400391,-1.005859,-0.296875
20642.000000,-25.102810,14.151376,0.606015,1.341797,0.179688,-1.353027
20643.000000,-6.627201,6.163570,-1.650082,-1.371094,-0.524902,-0.600098
20644.000000,-29.797934,16.285521,2.679186,1.153320,0.591309,-1.539551
20645.000000,-9.858908,4.761131,-0.125692,-0.741699,-0.156250,-1.369141
20646.000000,-25.895494,13.724546,3.959674,-0.314453,0.376465,-0.386230
20647.000000,-8.090615,14.822107,0.057235,0.168457,-0.777344,-1.113770
20649.000000,-12.297933,6.102594,-1.528131,1.263672,-0.288086,-1.201172
20649.000000,-16.505249,17.505033,0.301137,-1.739258,-0.453125,-1.126465
20650.000000,-16.505249,17.505033,0.301137,-1.739258,-0.453125,-1.126465
20651.000000,-19.310127,5.431863,0.788942,2.183105,-0.214844,-1.566406
20652.000000,-15.590615,9.578204,1.398698,-2.581055,0.477051,-0.820801
20653.000000,-20.468664,15.066010,4.142601,2.555176,0.163086,-1.426758
20654.000000,-10.102810,13.297717,-1.589107,-3.134277,0.247559,0.288574
20655.000000,-19.858908,13.663570,1.947479,3.595703,-0.440430,-1.366211
20656.000000,-10.590615,1.956253,-2.015936,-3.798828,0.319336,0.253418
20657.000000,-19.188177,14.090400,2.313333,3.292480,-0.479492,-1.826172
20658.000000,-13.883298,16.773325,2.557235,2.781738,-0.117188,-1.366699
20660.000000,-16.749153,6.773326,2.435284,-2.460449,1.354004,-0.229980
20660.000000,-8.578421,20.126984,2.008454,1.868164,-0.929688,-1.112793
20661.000000,-8.578421,20.126984,2.008454,1.868164,-0.929688,-1.112793
20662.000000,-19.858908,2.870887,1.947479,-1.082520,-0.048828,-1.353516
20663.000000,-10.468664,9.883082,2.740162,0.473633,0.073730,-1.042969
20664.000000,-21.017445,-3.287650,2.557235,0.201660,-0.489746,-1.299316
20665.000000,-7.480859,6.285522,3.593820,-1.353027,0.796875,-1.007324
20666.000000,-17.297932,13.968449,3.776747,1.522461,-0.900391,-1.410645
20667.000000,-3.029639,14.517229,2.008454,-1.845703,0.743652,-0.159668
20669.000000,-12.724762,5.126985,3.045040,-2.359375,1.111816,-1.308594
20669.000000,-12.358908,9.456253,6.032845,3.122559,-2.163574,-1.902344
20670.000000,-12.358908,9.456253,6.032845,3.122559,-2.163574,-1.902344
20671.000000,-17.785738,-4.751064,4.142601,-3.157715,1.923828,-1.581055
