flight,axis,event_time_active_s,delta_deg,pre_error_deg,post_angle_err_rms_deg,post_angle_abs_err_p95_deg,t63_ms,overshoot_deg,overshoot_pct_of_step,gyro_err_rms_dps,gyro_abs_err_p95_dps,angle_ff_with_sp_rate_pct,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_p_rms,gyro_i_rms,gyro_d_rms
1,roll,20.318,20.72,-2.247245,4.7824240251073995,8.126811399999998,242.0,0.783488000000002,3.781312741312751,11.910780254921454,22.048900199999995,60.0,100.0,100.0,0.0,0.0,0.0,45.26096422954406,0.0,0.0
1,roll,21.197,-18.480001,-0.02083499999999816,5.89043089349645,16.251045549999997,232.0,3.415025,18.479571510845695,33.16987196395229,59.58271674999999,27.27272727272727,100.0,100.0,0.0,0.0,0.0,126.0455125274485,0.0,0.0
1,roll,26.417,21.12,-1.550572,7.661760302182416,17.82454075,196.0,1.9303109999999997,9.139730113636363,34.11153978978877,67.22987425,0.0,100.0,100.0,0.0,0.0,0.0,129.6238499120198,0.0,0.0
1,roll,27.237000000000002,-17.04,-3.5099209999999985,8.093173733655115,19.222762000000003,171.0,3.979769000000001,23.35545187793428,39.30916394807773,86.43580850000001,36.36363636363637,100.0,100.0,0.0,0.0,0.0,149.37482082945127,0.0,0.0
1,roll,28.677,15.64,0.6761619999999999,6.133511179687898,13.19480575,231.0,1.8163359999999997,11.613401534526853,19.119173426359367,44.572716,19.230769230769234,100.0,100.0,0.0,0.0,0.0,72.65285826058715,0.0,0.0
1,roll,29.637,-5.76,1.2559749999999994,2.1158610386716297,5.177931600000001,381.0,9.526754,165.39503472222225,14.821522485774084,30.733774400000005,56.52173913043478,100.0,100.0,0.0,0.0,0.0,56.32178487134005,0.0,0.0
1,roll,31.576,-2.84,-1.427851,1.3693492438083519,2.7239758000000003,285.0,2.145949,75.56158450704226,9.579927320441668,15.0191966,90.0,100.0,100.0,0.0,0.0,0.0,36.40372339831088,0.0,0.0
1,roll,34.156,2.96,-1.0091889999999997,2.4349448605653485,3.7016351999999997,113.0,4.213735,142.35591216216216,22.487598561883065,34.344982,57.14285714285714,100.0,100.0,0.0,0.0,0.0,85.45287345605273,0.0,0.0
1,roll,35.996,2.84,1.49982,1.8712472750954716,3.26686325,293.0,1.242293,43.74271126760564,9.878943858675514,18.089562,55.00000000000001,100.0,100.0,0.0,0.0,0.0,37.53998619910693,0.0,0.0
1,roll,37.686,-4.8,-0.4870860000000006,0.6575239358424642,1.3001487000000007,251.0,0.7928990000000002,16.51872916666667,5.811879267739603,11.0455278,53.333333333333336,100.0,100.0,0.0,0.0,0.0,22.085140906592045,0.0,0.0
1,roll,38.646,-1.7000000000000002,-0.6879869999999999,0.9276777043538067,1.9048909,251.0,0.2497529999999999,14.691352941176463,5.731993369646099,10.786774349999996,27.27272727272727,100.0,100.0,0.0,0.0,0.0,21.781574584572233,0.0,0.0
1,roll,40.885,21.04,-1.385072,7.2462330771515315,17.66135435,202.0,0.6329349999999998,3.0082461977186306,30.41762985707123,78.02473430000003,0.0,100.0,100.0,0.0,0.0,0.0,115.58699137612615,0.0,0.0
