flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms
3,third_higher_angle_p_low_ff_inner_i,roll,all_active,148494,199.573,-0.06596933782509731,4.193000924749695,8.963265000000007,18.325403870000034,-20.0,20.0,-21.895134,24.589174,101.0,0.9675971669695886,30.08064198495598,29.770306225185248,0.0,0.0,4.924343420055799,97.74303636564608,100.0,32.239382239382245,-0.3711104497959512,20.836018857605595,42.210187050000016,88.61629524000007,45.0,0.9335408297099503,84.34209690589377,84.07886733149223,4.540731176879953,0.0,95.59152059274614,97.75199064379908,50.495472467137745,0.0,0.0,2.1609668907660063e-06
3,third_higher_angle_p_low_ff_inner_i,roll,quiet_center,53277,199.573,-0.38823249659327674,1.940306212400199,4.562454,4.562454,-5.789286,2.2,-9.466168,7.527789,28.0,0.6172253625836833,13.923538890822334,13.776174212762301,0.0,0.0,1.631610069061863,97.93594444121128,100.0,23.920086393088553,-2.1975997565929006,13.378056508534115,34.1846008,34.32261524,30.0,0.4465711673035489,49.22756873614629,48.68507362017648,4.5066683918131645,0.0,91.3103366850981,93.68346484582538,45.53808614888133,0.0,0.0,1.2957182645915412e-06
3,third_higher_angle_p_low_ff_inner_i,roll,rapid_step,127340,195.768,0.03903873968902152,4.465160776201648,9.678059999999993,18.640578220000002,-20.0,20.0,-21.895134,24.589174,101.0,0.9720683737316183,32.00339857997222,31.70264110775821,0.0,0.0,5.307945917424285,97.51786416020403,100.0,33.60944659851957,0.4537262046411181,21.771573408690735,46.120679049999794,94.48718453000001,45.0,0.9474053262669426,89.22361272824762,89.00060549971411,4.567844119702284,0.0,97.52841186622814,99.53352437396204,52.74349539223029,0.0,0.0,2.287972938333128e-06
3,third_higher_angle_p_low_ff_inner_i,roll,large_angle,29478,192.40200000000002,0.032314545491553014,7.680939769850606,18.344892749999985,21.785923,-20.0,20.0,-21.895134,24.589174,75.0,0.9041632951410158,54.383981629730044,54.53467165201086,0.0,0.0,9.64736705672666,97.66716908742121,100.0,33.71278458844133,-4.248565164766944,35.87903185568131,88.31898684999997,123.52721566999998,30.0,0.861947173812621,146.65031435300554,147.10402719296766,4.262498484872537,0.0,99.04304567124991,100.0,45.95453603261245,0.0,0.0,3.6640644198105673e-06
3,third_higher_angle_p_low_ff_inner_i,roll,stable_hold,122681,199.573,-0.057994793912667805,1.8727881752634956,4.28477,4.739178799999998,-20.0,20.0,-21.895134,24.589174,1.0,0.9467501884451816,13.050609555918397,13.29679600153933,0.0,0.0,2.533987535041934,97.59206203842955,100.0,28.903918838273324,-0.5003038337884431,12.081816335201271,26.790892,34.2948722,34.0,0.65953224572106,47.17792143747521,46.653711112379064,4.548307019280216,0.0,94.79225322071497,97.26132582544152,50.44108864431362,0.0,0.0,1.2777865881982495e-06
3,third_higher_angle_p_low_ff_inner_i,pitch,all_active,148494,199.573,0.013227171077619304,3.6588862932405815,6.97386330000001,17.483674310000048,-20.0,20.0,-21.647396,19.815166,91.0,0.9780637076630458,25.976756013162298,25.6122040416895,0.0,0.0,4.248701608364862,97.74714213067132,100.0,34.437299035369776,0.1606423688835913,16.164086663919388,26.738126200000032,75.69842519000001,33.0,0.9504073944862278,97.25873699079473,96.7754497668881,3.7873481531431983,0.0,98.79348552534384,99.95427204615007,52.65257307678779,0.0,0.0,2.3118157462460484e-06
3,third_higher_angle_p_low_ff_inner_i,pitch,quiet_center,67845,199.573,0.1970983148500258,1.3915965385935203,2.900085,4.302090839999999,-0.5,7.5,-19.348827,19.813284,24.0,0.7775586473408003,9.709060311671767,9.741175813273577,0.0,0.0,2.191293251733225,97.8387634209552,100.0,29.008567931456547,1.2851052518240105,8.182459261377122,16.60465459999999,23.10822599999997,1.0,0.7021711645867672,92.74774334739786,91.48741950009905,3.4198303328627833,0.0,98.95649481343861,99.89936522681529,60.6703824121381,0.0,0.0,1.9057186578628687e-06
3,third_higher_angle_p_low_ff_inner_i,pitch,rapid_step,128184,195.768,-0.01970798673781441,3.9308719046328595,7.672242,18.19711920999994,-20.0,20.0,-21.647396,19.815166,91.0,0.9784149322880767,27.914680539691155,27.516103314711266,0.0,0.0,4.548896723259253,97.57338834616341,100.0,35.873347251217815,0.007973134338138869,17.225538157253094,29.97861589999992,79.06609734999999,33.0,0.9533723465012348,88.26124723561503,88.11958878230759,3.7707276671825767,0.0,98.795592519653,99.9471037255253,50.83901629205254,0.0,0.0,2.247181971705494e-06
3,third_higher_angle_p_low_ff_inner_i,pitch,large_angle,22199,168.173,-0.5426604559664849,7.924788934262963,18.9560819,23.1754659,-20.0,20.0,-21.647396,19.815166,77.0,0.9449818238848832,55.58556036588672,55.473522495622476,0.0,0.0,9.339047832062382,97.94595084791875,100.0,30.158730158730158,3.0491578056669217,32.926263066896674,81.05914069999997,119.35933206000001,22.0,0.8914663883762862,161.59022838049202,161.3386922029227,3.864776327501631,0.0,98.82418552772226,100.0,54.561509504113026,0.0,0.0,4.099185830659693e-06
3,third_higher_angle_p_low_ff_inner_i,pitch,stable_hold,129845,199.573,-0.056570759520967316,1.6039136870013118,3.4423103999999913,4.623856359999999,-20.0,20.0,-21.647396,19.813284,2.0,0.9535706636200691,11.074307395437321,11.227395820720881,0.0,0.0,2.592483162767889,97.46929691127728,100.0,32.98759029449898,0.2685951701567253,8.841779733485547,17.7529388,25.114339719999965,23.0,0.7818363398891776,74.30706861622491,73.55572552200044,3.8418365774783196,0.0,98.70234805513809,99.94747984033872,53.77175546613662,0.0,0.0,1.6406781770909217e-06
4,fourth_small_gyro_d,roll,all_active,115210,153.865,0.09868926380522526,2.525017231254655,4.766891,10.120487,-20.0,20.0,-19.447306,19.749481,100.0,0.9562192019935917,17.38624677863379,17.17011763859284,0.0,0.0,2.097489142945747,98.40421723409587,100.0,28.93665158371041,0.51561107718948,12.368715124740458,24.31102719999999,43.038712350000004,44.0,0.8787082085964607,49.63826203591944,49.53711846570554,1.9578421494917246,0.7019066410888256,99.5050044504187,99.9382390873917,51.900056311420315,60.580917993866855,36.525475219165,1.7437576988324447e-06
4,fourth_small_gyro_d,roll,quiet_center,53686,153.865,-0.25936000366948553,1.4178937887000882,3.0500374999999997,4.2477257500000025,-5.72,2.2,-10.961486,15.677117,55.0,0.6385990016718601,9.602823579963179,9.64167799425626,0.0,0.0,1.1934806824044895,98.51366500444547,100.0,24.958494742667405,-1.1028978699660992,9.664014123703433,20.28198125,30.06767935000003,35.0,0.5212396992117332,38.762950168015905,38.86044345838986,2.088865431700747,0.7100100418763271,99.34125649947222,99.87294264826616,45.523671761992254,60.01139508383526,36.60544648511716,1.3856667247554038e-06
4,fourth_small_gyro_d,roll,rapid_step,92337,152.123,0.1853182430769897,2.7869624997840683,5.344004,11.717746,-20.0,20.0,-19.447306,19.749481,100.0,0.9643583968426309,19.191450062129988,18.95134552229672,0.0,0.0,2.3323393510001065,98.16203842606483,100.0,29.04488517745303,1.1206530760583517,13.407145279311889,26.648346599999996,46.58853803999999,44.0,0.8911499725776938,53.78501162226342,53.62307343183307,1.913825358969861,0.6926253034081085,99.53274192456152,99.92325229678788,54.94909821448726,61.15463917525773,36.85521513586103,1.8797093768905983e-06
