I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
44129.000000,5.554038,-3.632493,0.476425,11.000000,12.000000,-1.217072,-1.941050,-0.118049,-1.684965,-0.449536,10.682395,10.556403,12.876798
44130.000000,5.443019,-3.565637,0.476425,11.000000,12.000000,-1.216657,-1.934590,-0.083596,-1.686579,-0.450545,10.682403,10.556403,12.876798
44131.000000,5.334895,-3.499860,0.476425,11.000000,12.000000,-1.212045,-1.927853,-0.048266,-1.688192,-0.451553,10.682413,10.556403,12.876798
44132.000000,5.229705,-3.438044,0.476425,11.000000,12.000000,-1.203984,-1.920212,-0.015591,-1.689804,-0.452556,10.682422,10.556403,12.876798
44133.000000,5.124166,-3.378122,0.476425,11.000000,12.000000,-1.197091,-1.909948,0.012268,-1.691411,-0.453556,10.682432,10.556403,12.876798
44134.000000,5.016064,-3.319741,0.476425,11.000000,12.000000,-1.193838,-1.898599,0.037279,-1.693013,-0.454555,10.682441,10.556403,12.876798
44135.000000,4.908285,-3.265280,0.476425,11.000000,12.000000,-1.193573,-1.890021,0.061458,-1.694612,-0.455558,10.682450,10.556403,12.876798
44138.000000,4.649796,-3.133383,0.476350,11.000000,12.000000,-1.197512,-1.879873,0.139428,-1.699418,-0.458591,10.682479,10.556403,12.876798
44139.000000,4.582621,-3.098265,0.476350,11.000000,12.000000,-1.194415,-1.872888,0.173495,-1.701017,-0.459603,10.682487,10.556403,12.876798
44140.000000,4.524667,-3.068151,0.476350,11.000000,12.000000,-1.192564,-1.863824,0.210401,-1.702610,-0.460621,10.682704,10.556403,12.876798
44141.000000,4.477987,-3.041226,0.476350,11.000000,12.000000,-1.193215,-1.855140,0.243956,-1.704195,-0.461642,10.682952,10.556403,12.876798
44142.000000,4.440184,-3.015140,0.476350,11.000000,12.000000,-1.194892,-1.846278,0.269315,-1.705774,-0.462667,10.683231,10.556403,12.876798
44143.000000,4.407080,-2.990989,0.476350,11.000000,12.000000,-1.193460,-1.835390,0.287738,-1.707344,-0.463693,10.683523,10.556403,12.876798
44144.000000,4.376420,-2.970953,0.476350,11.000000,12.000000,-1.185950,-1.824244,0.303553,-1.708904,-0.464713,10.683831,10.556403,12.876798
44145.000000,4.348722,-2.955988,0.476350,11.000000,12.000000,-1.174102,-1.815473,0.319365,-1.710456,-0.465721,10.684156,10.556403,12.876798
44148.000000,4.278224,-2.902684,0.476455,8.000000,8.000000,-1.126146,-1.776655,0.396018,-1.715053,-0.468667,10.685266,9.265430,11.037434
44149.000000,4.260423,-2.886750,0.476455,8.000000,8.000000,-1.107569,-1.752905,0.439182,-1.716547,-0.469617,10.685711,9.265430,11.037434
44150.000000,4.246373,-2.874313,0.476455,8.000000,8.000000,-1.090776,-1.725788,0.480922,-1.718014,-0.470552,10.686198,9.265430,11.037434
