I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
51141.000000,-33.534824,23.914186,0.589438,-8.000000,-3.000000,-0.434335,-9.604368,-0.486172,-3.441306,-1.857158,-1.276349,-4.245826,2.143710
51142.000000,-26.314318,6.276638,0.589438,-8.000000,-3.000000,-0.438938,-9.563223,-0.522636,-3.451959,-1.857844,-1.276551,-4.245826,2.143710
51143.000000,-18.691063,-4.427657,0.589438,-8.000000,-3.000000,-0.398970,-8.636630,-0.539792,-3.461375,-1.858043,-1.276827,-4.245826,2.143710
51144.000000,-11.104133,-6.774099,0.589438,-8.000000,-3.000000,-0.359640,-7.131044,-0.522697,-3.468973,-1.858100,-1.277141,-4.245826,2.143710
51147.000000,3.584164,15.384138,0.587868,-8.000000,-3.000000,-0.000101,-3.585144,-0.504358,-3.482729,-1.859380,-1.278148,-4.245826,2.143710
51148.000000,4.395846,24.640659,0.587868,-8.000000,-3.000000,0.230645,-2.973351,-0.535896,-3.485499,-1.860270,-1.278523,-4.245826,2.143710
51149.000000,4.035525,28.474087,0.587868,-8.000000,-3.000000,0.514350,-2.561368,-0.578391,-3.487869,-1.861102,-1.278940,-4.245826,2.143710
51150.000000,3.699936,23.934616,0.587868,-8.000000,-3.000000,0.814399,-2.042104,-0.605657,-3.489730,-1.861451,-1.279413,-4.245826,2.143710
51151.000000,4.228409,11.233983,0.587868,-8.000000,-3.000000,1.036753,-1.508783,-0.602896,-3.491025,-1.860956,-1.279937,-4.245826,2.143710
51152.000000,6.770843,-9.021814,0.587868,-8.000000,-3.000000,1.158817,-1.426985,-0.591977,-3.492102,-1.859292,-1.280517,-4.245826,2.143710
51153.000000,11.560963,-34.370651,0.587868,-8.000000,-3.000000,1.172178,-2.054619,-0.584791,-3.493548,-1.856264,-1.281152,-4.245826,2.143710
51154.000000,17.578938,-60.025673,0.587868,-8.000000,-3.000000,1.065428,-3.221357,-0.581121,-3.495829,-1.851939,-1.281832,-4.245826,2.143710
51158.000000,36.337532,-92.661201,0.586449,-10.000000,-13.000000,0.768308,-7.781570,-0.772183,-3.513808,-1.828208,-1.285029,-7.115293,-1.467847
51159.000000,35.720798,-80.937523,0.586449,-10.000000,-13.000000,0.863221,-8.364701,-0.818459,-3.520138,-1.822660,-1.285872,-7.115293,-1.467847
51160.000000,30.682590,-66.656319,0.586449,-10.000000,-13.000000,0.927979,-8.876391,-0.842250,-3.527252,-1.817829,-1.286675,-7.115293,-1.467847
51161.000000,21.165005,-54.631729,0.586449,-10.000000,-13.000000,0.959600,-9.431521,-0.837239,-3.535473,-1.813666,-1.287414,-7.115293,-1.467847
51162.000000,9.341116,-47.922585,0.586449,-10.000000,-13.000000,1.060376,-9.559492,-0.790811,-3.544527,-1.809905,-1.288073,-7.115293,-1.467847
51163.000000,-3.218078,-47.192326,0.586449,-10.000000,-13.000000,1.276742,-8.898888,-0.701239,-3.553604,-1.806103,-1.288653,-7.115293,-1.467847
51164.000000,-14.713198,-50.554802,0.586449,-10.000000,-13.000000,1.520721,-7.862374,-0.592669,-3.562206,-1.802032,-1.289160,-7.115293,-1.467847
51167.000000,-33.881630,-48.006294,0.585230,-10.000000,-13.000000,1.865279,-5.086375,-0.278886,-3.584156,-1.789685,-1.290198,-7.115293,-1.467847
51168.000000,-34.818077,-37.541157,0.585230,-10.000000,-13.000000,2.048124,-4.194444,-0.182173,-3.589743,-1.786121,-1.290163,-7.115293,-1.467847
51169.000000,-33.969433,-22.462128,0.585230,-10.000000,-13.000000,2.238528,-3.394368,-0.109093,-3.594442,-1.783014,-1.290112,-7.115293,-1.467847
51170.000000,-33.400795,-5.117237,0.585230,-10.000000,-13.000000,2.364375,-2.696705,-0.052198,-3.598374,-1.780461,-1.290041,-7.115293,-1.467847
51171.000000,-34.844913,10.667678,0.585230,-10.000000,-13.000000,2.478166,-2.269499,-0.004411,-3.601892,-1.778373,-1.289947,-7.115293,-1.467847
