tick,t_s,target_mm,logged_h_mm,logged_v_mps,ref_h_mm,ref_v_mps,tof_health,tof_valid_count,tof_spread_mm,steady_mask,rec_h_mm,rec_v_mps,pos_out_mps,tof1,tof2,tof3,tof4
361431.0,361.431,901.800049,935.163696,0.157225,962.0388039562324,0.07508200421477795,1.0,4,84.15154500000006,True,957.4392399695424,0.12513064938367044,-0.033765,891.900208,996.821533,935.52417,1046.171753
361441.0,361.44100000000003,901.800049,936.757019,0.157406,962.7400206626792,0.0655937042999497,1.0,4,82.22240699999986,True,958.916995893175,0.12532514126852065,-0.033765,894.024658,994.031494,946.231812,1046.367065
361451.0,361.451,901.800049,938.323669,0.157342,963.3506780422344,0.0605294630176445,1.0,4,80.71581600000002,True,960.370734474002,0.1251943739059169,-0.037003,900.744995,994.031494,946.231812,1051.580811
361461.0,361.461,901.800049,939.990356,0.158146,963.9506099230309,0.058471855517979066,1.0,4,75.83318600000007,True,961.7899561347796,0.12377243336930256,-0.037003,905.627625,989.08783,949.151489,1051.580811
361471.0,361.471,901.800049,941.801697,0.160126,964.520115152593,0.05684665856867355,1.0,4,65.2021830000001,True,963.1303374718976,0.11933625526786557,-0.040562,908.627258,987.163574,950.989441,1043.489746
361481.0,361.481,901.800049,943.498169,0.160946,965.0875430944034,0.05154043003730635,1.0,4,49.234104000000116,True,964.3764090795319,0.11211912753087255,-0.040562,924.595337,976.160583,950.989441,1043.489746
361491.0,361.491,901.800049,942.250793,0.13634,965.5509237533381,0.04120691494377127,1.0,3,38.16318100000001,True,965.4282262888685,0.10167682449784372,-0.041093,924.595337,987.163574,939.918518,8192.0
361501.0,361.50100000000003,901.800049,943.327393,0.13387,965.9116813932798,0.03163334721622135,1.0,4,38.05394999999987,True,966.352604272886,0.09020786065029784,-0.041093,929.419922,988.196777,939.918518,1037.593872
361511.0,361.511,901.800049,944.343994,0.131095,966.1835906976644,0.023026701796659665,1.0,4,46.99962900000003,True,967.2258567056928,0.07931756390230274,-0.043269,929.419922,1001.209961,945.707825,1046.539551
361521.0,361.521,901.800049,945.323547,0.128241,966.3722154292126,0.019759468602970287,1.0,4,46.536081999999965,True,968.0486829950814,0.0691645623563016,-0.043269,930.260437,1005.306519,947.587402,1043.60022
361531.0,361.531,901.800049,946.173279,0.124514,966.5787800697233,0.01701060628862905,1.0,4,44.36524500000007,True,968.8273456927152,0.059105140305708626,-0.04518,935.370422,1008.245667,945.707825,1043.60022
361541.0,361.541,901.800049,946.728943,0.118576,966.7124275549849,0.010438345017803385,1.0,4,42.81910200000004,True,969.5221254556462,0.04930472159712508,-0.04518,933.977417,1005.306519,940.675598,1043.60022
