tick,target_mm,tof1,tof2,tof3,tof4,fused_mm,pos_out,vz_log,accx,accy,accz,pitch,roll,yaw,tof_bias_corr_height_mm,tof_corr_spread_mm,acc_up_mps2,v_ref_savgol_mps,logged_current_vz,robust_diff_lpf_fc1p5,robust_diff_lpf_fc2p5,ab_a0.18_b0.022,ab_a0.24_b0.032,ab_a0.3_b0.032,abacc_a0.14_b0.022_tau0.35_db0.22,abacc_a0.18_b0.032_tau0.35_db0.22,abacc_a0.14_b0.022_tau0.5_db0.22,abacc_a0.18_b0.032_tau0.5_db0.16
17822.0,0.0,119.783607,123.365524,120.614838,143.193558,126.727676,0.0,0.002686,-0.011361,0.004412,-1.016011,-0.692911,-0.280072,-0.763228,121.97132293750003,70.3832250000001,0.15772547104095822,0.0006156534154397875,0.002686,-0.0015279941686590264,-0.007230318102156896,0.007646661651342345,0.007395294832533435,0.00644613936052768,0.0066514703758661945,0.007260606080703469,0.006914266317060897,0.007585053429247391
17831.0,0.0,119.783607,122.365158,123.612877,143.193558,126.75119,0.0,0.002657,-0.011443,0.004579,-1.016085,-0.692923,-0.27996,-0.763229,122.47074118750002,73.38126400000007,0.15846883664370184,0.0004931403338028773,0.002657,0.003101343389276116,0.001080453356156366,0.006554624253856738,0.0057914976742851005,0.0051257192197800925,0.0055823433040760985,0.005497900066656725,0.005847455933214366,0.00583762144293548
17842.0,0.0,119.784103,120.366318,125.613281,139.193878,126.704681,0.0,0.002028,-0.011273,0.004904,-1.01585,-0.693246,-0.280105,-0.763226,121.47133618750004,79.38134800000006,0.15615982280138005,0.0003176737857595313,0.002028,-0.006166524330984129,-0.013604356593048851,0.0036789547026859033,0.0017015395157606063,0.0012980955786823906,0.00265454259145797,0.0011855505299896985,0.0029289049393730585,0.0015348446697969016
17851.0,0.0,119.784103,120.366318,123.612877,139.193634,126.611702,0.0,0.001052,-0.01107,0.005003,-1.015876,-0.693362,-0.280121,-0.763223,120.97117418750003,77.38118800000007,0.15639540938462923,0.00020526471216619768,0.001052,-0.010110485156116952,-0.018897327828889483,-0.0005066604509462924,-0.003930380215994939,-0.003796541928329738,-0.0015897644617416007,-0.004812288277688393,-0.0013443766029742486,-0.0045050351322774886
17862.0,0.0,119.784103,121.366524,122.612709,139.193878,126.521362,0.0,0.000183,-0.011141,0.005019,-1.015881,-0.693487,-0.280235,-0.763219,120.97124468750005,76.38077600000005,0.1564536075187166,4.4891805766944515e-05,0.000183,-0.009200486126618277,-0.01614931183416289,-0.003303540178643516,-0.007306433045919393,-0.006592685340638553,-0.004444492672041805,-0.008513010847008071,-0.004255478240712884,-0.008296481158082914
17871.0,0.0,119.783775,123.366241,122.612709,139.194565,126.48082,0.0,-0.000182,-0.010951,0.004976,-1.016006,-0.693465,-0.280185,-0.763216,121.47126368750003,76.38008900000005,0.1576547253078732,-5.741325978281253e-05,-0.000182,-0.003875660159826976,-0.006533307021087285,-0.004811688644029034,-0.008430759817136695,-0.006996130106936592,-0.006063952684857911,-0.010104802344784516,-0.005954315479632062,-0.010003265576880048
17882.0,0.0,120.783272,123.366241,121.612877,140.194168,126.460297,0.0,-0.000343,-0.010881,0.004799,-1.016049,-0.693292,-0.280009,-0.763213,121.72108068750003,74.38065400000008,0.1580596264955818,-0.00020269252453442022,-0.000343,-0.0012801495602463215,-0.0019521595137879915,-0.005218028009727602,-0.008133361967999526,-0.006276577400576242,-0.00646219636731007,-0.009955008677203113,-0.006442901076564204,-0.009983144177431881
17891.0,0.0,123.78334,122.366615,125.612694,140.194366,126.578598,0.0,0.000706,-0.010999,0.004754,-1.015686,-0.693137,-0.280111,-0.763212,123.22119493750003,78.38027300000007,0.15451199156819892,-0.0003113551801749992,0.000706,0.01232743211817113,0.020137875114151917,-0.001843527791136172,-0.002263105271825193,-0.00012637005276074174,-0.0031048349804606644,-0.0042131951798945215,-0.003169021045368942,-0.004349841324498523
17901.0,0.0,123.78334,122.366615,122.612801,142.193863,126.659409,0.0,0.001341,-0.011109,0.004805,-1.015791,-0.693202,-0.279989,-0.76321,122.97109593750002,73.38088300000007,0.15555708695287535,-0.00040642138187862997,0.001341,0.008969209441667082,0.013575013894228626,0.00013719318158976913,0.001024252877057208,0.00295198761805213,-0.0010276710405886752,-0.0007090671452791835,-0.0011417458779675311,-0.0008988827391452044
17911.0,0.0,121.784294,123.366264,122.612801,142.193863,126.713654,0.0,0.001693,-0.011303,0.004806,-1.015989,-0.692946,-0.279886,-0.763209,122.72124668750001,73.38088300000007,0.15752174934695476,-0.00048040384792180646,0.001693,0.005915280899526221,0.007969786904156544,0.0012086977792295484,0.002690351378141204,0.004212856783842823,0.0001853662228078611,0.001310150426627701,4.5803202368042755e-05,0.0011073202633862988
17922.0,0.0,121.784294,123.366264,122.612801,141.193771,126.746635,0.0,0.001831,-0.011204,0.004981,-1.016148,-0.693131,-0.280177,-0.763206,122.47122368750001,74.38097500000006,0.15907748157996318,-0.000680427621004398,0.001831,0.0031344683618006117,0.0031768324355010875,0.0014808184008726524,0.003028043098426189,0.004153077017717684,0.0006012506245088454,0.0019906965621290583,0.0004545249173591491,0.00180271609906652
17930.0,0.0,121.784294,123.365929,122.613136,141.193344,126.776146,0.0,0.001927,-0.011078,0.005044,-1.016255,-0.693343,-0.28031,-0.763203,122.47111693750003,74.38173700000007,0.16011473449916822,-0.0007477895311014393,0.001927,0.0028515854893709043,0.0027134836019480323,0.0017547628344560583,0.003283606566974376,0.003962213528255318,0.001072707726153598,0.0026946016295942904,0.0009215092647440045,0.0025272141977620032
17941.0,0.0,120.783012,120.366302,122.613136,141.193771,126.716255,0.0,0.001246,-0.011155,0.004985,-1.016093,-0.693216,-0.280629,-0.763199,121.47099643750002,74.38131000000007,0.15853252495214343,-0.0007409500930650736,0.001246,-0.006400253720638775,-0.012219110951550214,-0.000120712449328778,0.0004103466012648884,0.0008288143734428541,-0.0006809491977116341,6.217354923676024e-05,-0.0008224669216827571,-6.896106662621863e-05
17951.0,0.0,120.783012,120.365784,121.613609,142.194595,126.635239,0.0,0.000441,-0.010934,0.004989,-1.016037,-0.692977,-0.280724,-0.763197,121.47119118750003,72.38095900000008,0.15795742622294273,-0.0008999055199572226,0.000441,-0.0058228456053930995,-0.01044006113292576,-0.001809307031417079,-0.00200420662130818,-0.0016098018357123618,-0.0022739217694195796,-0.0022401939834509194,-0.0024184907091054342,-0.00235691326896193
17960.0,0.0,120.783012,120.365784,119.614227,142.194595,126.501411,0.0,-0.00075,-0.010932,0.005003,-1.015771,-0.693001,-0.280834,-0.763194,120.97134568750003,70.38157700000008,0.1553495097445478,-0.0009276432186702266,-0.00075,-0.009794871155093697,-0.01618840624608398,-0.004529844118184231,-0.0057562565084881305,-0.00523221811742376,-0.004928514866194594,-0.0059849826175783286,-0.005084636605253334,-0.006102498403499277
17971.0,0.0,123.782806,119.364792,119.614227,143.194229,126.440636,0.0,-0.001209,-0.011148,0.004815,-1.01561,-0.692702,-0.280841,-0.763192,121.72095468750003,69.38194300000006,0.15378741522942688,-0.0008901264966407751,-0.001209,-0.002171703228773251,-0.00293857841574615,-0.0047562026112517326,-0.005724468411881272,-0.0049587630081010204,-0.005076869112435985,-0.005978175898318559,-0.005269270555107214,-0.006134904219316572
17982.0,0.0,117.783218,121.365067,122.614609,137.194687,126.271904,0.0,-0.002558,-0.011161,0.004791,-1.015573,-0.692573,-0.280843,-0.76319,119.97133643750003,78.38186700000008,0.1534250123630787,-0.0010626494307457435,-0.002558,-0.01771292356480305,-0.02794456577788313,-0.008336416618119765,-0.010606925014734708,-0.009698462560770747,-0.008566060853026726,-0.010837970524663912,-0.008791861038785782,-0.011030351448233416
17991.0,0.0,116.784225,121.3647,126.614227,140.193939,126.244286,0.0,-0.002576,-0.011239,0.004745,-1.015781,-0.69236,-0.280601,-0.76319,121.47121393750002,79.38223300000007,0.1554717043782569,-0.00110433044803937,-0.002576,-0.0026294622438954654,-0.0020796124764798363,-0.00807481826829308,-0.00946986532535786,-0.008110290264998864,-0.00832641214580534,-0.009939088599946185,-0.008598387537461175,-0.010187829069379845
18002.0,0.0,116.784225,123.364388,126.614227,139.193649,126.24514,0.0,-0.002346,-0.011013,0.004479,-1.0161,-0.692286,-0.280625,-0.76319,121.72106343750004,80.38252300000008,0.1585602184821746,-0.0011590478629264211,-0.002346,-0.00014574580956964707,0.001854600606268698,-0.007221964555325016,-0.007732950337188285,-0.006214336479849366,-0.0073703030981540855,-0.008168213714308932,-0.007696646855156515,-0.008480057778122834
18011.0,0.0,119.78434,121.365028,122.614235,139.193649,126.168396,0.0,-0.002805,-0.011036,0.004296,-1.01605,-0.692456,-0.280262,-0.763189,120.97125418750002,76.38253100000009,0.15806386973349446,-0.00130062629495864,-0.002805,-0.006876628320461197,-0.009314518803022885,-0.008041199447222161,-0.008538083337387523,-0.007059372362977491,-0.00811972540702673,-0.008898843937668844,-0.008471719519187534,-0.009234019957494047
18020.0,0.0,119.784447,123.364388,120.613861,139.193146,126.097633,0.0,-0.003173,-0.011085,0.004214,-1.016035,-0.692404,-0.280003,-0.763191,120.97090168750003,74.38266000000004,0.15791870067565225,-0.0012243229656121457,-0.003173,-0.006261295876739613,-0.007965647164882763,-0.008536927337405593,-0.008878019084075858,-0.007426250898885243,-0.008541236242281751,-0.009158577703492002,-0.008919717318537326,-0.009517354146616443
18031.0,0.0,121.784698,122.366158,122.614235,139.193146,126.094627,0.0,-0.002926,-0.011057,0.004184,-1.01602,-0.692331,-0.27936,-0.763193,121.72150043750003,76.38303400000007,0.1577669581802667,-0.0011174799050470696,-0.002926,0.0010529546233707917,0.004103274909396415,-0.007180505784123859,-0.006621740701326045,-0.005215172213413412,-0.007029499014075074,-0.00672440149257497,-0.007449760890727472,-0.007122750665116263
