tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
439613.0,439.613,0.0,134.583832,134.583832,0.0,0.061833,-0.061833,0.1001904027406649,121.60684575000002,121.40417675,72.72006300000001,False,0.07406414025170349,0.003621513991923564,120.579102,122.805618,120.936363,141.1763
439623.0,439.623,0.0,134.984467,134.984467,0.0,0.059958,-0.059958,0.09041510902878007,120.63761125,120.43494225000002,71.80905999999999,False,0.07126760167789215,0.00027490345191250043,118.590729,121.83831,120.020233,141.171173
439633.0,439.633,0.0,135.441513,135.441513,0.0,0.05873,-0.05873,0.1369531904265465,121.62888525,121.42621625,70.809212,False,0.06834321749627748,0.00018019248301204271,120.588669,122.805618,120.020233,142.171021
439643.0,439.64300000000003,0.0,135.947708,135.947708,0.0,0.058032,-0.058032,0.1849836957591159,122.35414675000001,122.15147775,72.803933,False,0.0656636401282924,0.00013383647345222016,120.59082,127.699234,120.020233,140.1763
439653.0,439.653,0.0,136.530594,136.530594,0.0,0.058054,-0.058054,0.20025530725355103,123.62390150000002,123.4212325,71.876725,False,0.06309075350166271,0.001522925350897708,122.594513,127.699234,121.094292,142.177567
439663.0,439.663,0.0,136.95491,136.95491,0.0,0.056708,-0.056708,0.19478637883200922,122.11746775,121.91479874999999,69.870957,False,0.06026117675573239,0.0030242275135901053,122.594513,127.681801,117.087257,140.1763
439673.0,439.673,0.0,137.409836,137.409836,0.0,0.055742,-0.055742,0.18644223236359855,122.87065700000001,122.66798800000001,73.89647,False,0.05716395208525338,0.0030821697519902713,121.618713,127.681801,121.094292,140.157822
439683.0,439.683,0.0,137.776794,137.776794,0.0,0.054102,-0.054102,0.17795926200103637,122.137266,121.93459700000001,70.962906,False,0.05373579333326095,0.00328214681149408,121.618713,127.681801,118.160728,140.157822
439693.0,439.693,0.0,138.163696,138.163696,0.0,0.052774,-0.052774,0.16030372251346994,122.6327395,122.4300705,69.96321200000003,False,0.05014745869801107,0.00402609410902155,121.618713,128.664001,118.160728,141.157516
439703.0,439.70300000000003,0.0,138.387863,138.387863,0.0,0.05016,-0.05016,0.15488472445045132,121.1276605,120.9249915,69.96321200000003,False,0.04464081280082066,0.003418158486296896,119.627106,124.635292,118.160728,141.157516
439714.0,439.714,0.0,138.701813,138.701813,0.0,0.048544,-0.048544,0.14941635858157362,121.12516600000001,120.92249699999999,73.031778,False,0.04328115991603987,0.0010582267279488633,119.627106,127.563858,118.225739,138.153961
439723.0,439.723,0.0,138.730209,138.730209,0.0,0.044607,-0.044607,0.14871468513925837,121.12502675000002,120.92235775,73.031778,False,0.04168902046185252,-0.00046885970986298986,120.636131,126.554276,118.225739,138.153961
439733.0,439.733,0.0,138.980331,138.980331,0.0,0.042919,-0.042919,0.15086589852881443,122.12622650000002,121.9235575,69.049027,False,0.03583682364122698,-0.002032449219267818,120.636131,126.554276,118.236763,142.147736
439743.0,439.743,0.0,139.186295,139.186295,0.0,0.040997,-0.040997,0.13433344521873014,121.88251125000001,121.67984225,71.08656399999998,False,0.03270668239161445,-0.003944452298801693,117.648834,126.529175,120.2743,142.147736
439753.0,439.753,0.0,139.245331,139.245331,0.0,0.037974,-0.037974,0.17216282325103507,120.63990025000001,120.43723125,74.14970499999998,False,0.029633726575031716,-0.004743779591724895,117.648834,124.498856,120.335808,139.146103
439763.0,439.76300000000003,0.0,139.346634,139.346634,0.0,0.035576,-0.035576,0.1987596485420752,121.38493725000001,121.18226825000002,74.14970499999998,False,0.026339025411166617,-0.004657453178015025,120.652977,124.474861,120.335808,139.146103
439773.0,439.773,0.0,139.429199,139.429199,0.0,0.033223,-0.033223,0.1678523624345666,121.38493725000001,121.18226825000002,74.14970499999998,False,0.022869280676193426,-0.004217081515968779,120.652977,124.474861,120.335808,139.146103
439783.0,439.783,0.0,139.361786,139.361786,0.0,0.029781,-0.029781,0.14869359318777334,119.88088400000001,119.67821500000001,69.17831600000002,False,0.019666964767756312,-0.0036600461703599763,118.669662,121.437584,117.352303,141.133987
439793.0,439.793,0.0,139.361862,139.361862,0.0,0.027216,-0.027216,0.1578519989619093,120.63318225,120.43051325,72.187509,False,0.01677986088309158,-0.0028938069609916184,118.669662,121.437584,120.361496,141.133987
439803.0,439.803,0.0,139.417145,139.417145,0.0,0.025348,-0.025348,0.15127558028749077,121.6378365,121.4351675,72.23182,False,0.013907578303907542,-0.0022928208594041877,118.672836,121.415398,122.402466,143.130646
439813.0,439.813,0.0,139.521408,139.521408,0.0,0.024063,-0.024063,0.1291836819367641,122.3882315,122.1855625,72.23182,False,0.011209005929654126,-0.002425309159027833,121.674416,121.415398,122.402466,143.130646
439823.0,439.82300000000004,0.0,139.603226,139.603226,0.0,0.022695,-0.022695,0.1379516947960858,122.14713850000001,121.9444695,72.317902,False,0.008700231515653023,-0.0028247469025508565,121.68026,126.354156,119.49102,140.133118
439833.0,439.833,0.0,139.696243,139.696243,0.0,0.021542,-0.021542,0.14777403132125708,122.64418,122.44151099999999,74.32366999999999,False,0.006233464372172648,-0.0033828660208756745,125.674194,126.354156,119.49102,138.12735
