tick,t_s,target_mm,logged_h_mm,logged_v_mps,ref_h_mm,ref_v_mps,tof_health,tof_valid_count,tof_spread_mm,steady_mask,rec_h_mm,rec_v_mps,pos_out_mps,tof1,tof2,tof3,tof4
385598.0,385.598,1200.0,1180.369263,0.036572,1212.8374780567092,0.007204750545092509,1.0,4,34.033676000000014,True,1210.2373298191492,0.01056193551368662,0.020107,1202.605713,1209.459351,1173.313354,1285.103027
385609.0,385.609,1200.0,1180.700684,0.044083,1212.9001193006425,0.007381754932353601,1.0,3,18.829673000000184,True,1210.6409775284183,0.01417333881331721,0.020107,1205.515259,8192.0,1173.313354,1285.103027
385618.0,385.618,1200.0,1181.404907,0.046211,1212.9789782593818,0.008115596549316706,1.0,4,24.94151399999987,True,1211.0586528166084,0.01682996580940766,0.01904,1202.605713,1218.540161,1175.203735,1285.091675
385629.0,385.629,1200.0,1181.692871,0.044886,1213.0595578539524,0.010393102176621483,1.0,3,11.987020999999913,True,1211.4974709910077,0.018361788376884708,0.01904,1199.674805,8192.0,1176.088257,1281.035278
385638.0,385.63800000000003,1200.0,1181.714478,0.039242,1213.1756850865931,0.012747443319909735,1.0,3,21.239863000000014,True,1211.9035267797285,0.018847154995513028,0.018698,1189.675415,8192.0,1176.088257,1281.035278
385649.0,385.649,1200.0,1181.942871,0.036639,1213.3138152424438,0.016535797872819558,1.0,3,13.922933999999941,True,1212.323425009256,0.01984346827052412,0.018698,1199.674805,8192.0,1176.088257,1282.971191
385658.0,385.658,1200.0,1182.027588,0.026135,1213.4919337314047,0.018518243012920266,1.0,4,44.5235439999999,True,1212.6201378392448,0.01937014233243623,0.018352,1189.675415,1199.778687,1170.797119,1285.912231
385669.0,385.669,1200.0,1181.903809,0.019711,1213.678523657347,0.01865322870781938,1.0,3,26.177728999999772,True,1212.9152006276506,0.01919885633246341,0.018352,1192.645264,8192.0,1170.797119,1288.942993
385678.0,385.678,1200.0,1182.197876,0.009996,1213.8588510031334,0.017084388487830893,1.0,4,34.40647899999999,True,1213.138538643721,0.018018668374191214,0.01815,1192.645264,1210.834717,1169.700195,1286.851196
385689.0,385.689,1200.0,1182.052368,0.003914,1214.0070915014762,0.016613777583756928,0.45,2,0.10506900000018504,True,1213.3016791473099,0.015993245337271058,0.01815,1192.645264,8192.0,1169.700195,1290.875
385698.0,385.69800000000004,1200.0,1181.964966,-0.001425,1214.1797179415598,0.01632995133839188,1.0,3,26.18514099999993,True,1213.452868120746,0.013903223555702494,0.018352,1194.570801,8192.0,1167.706055,1286.851196
385709.0,385.709,1200.0,1182.015747,-0.000228,1214.3210204650154,0.0198420530117005,0.45,2,8.943392999999787,True,1213.5777308479248,0.011772385618498898,0.018352,1194.570801,8192.0,1180.674194,1292.896729
385718.0,385.718,1200.0,1182.267822,0.004513,1214.5511176597533,0.02739411179776141,1.0,3,14.253778999999895,True,1213.7596369015716,0.011086488620584903,0.018019,1200.607422,8192.0,1180.674194,1284.981201
385729.0,385.729,1200.0,1183.002441,0.010372,1214.8770260646452,0.03329010604238647,1.0,3,7.978295999999773,True,1213.9242476025197,0.01049747877221282,0.018019,1202.700195,1224.045898,1180.674194,1292.555176
385738.0,385.738,1200.0,1183.187866,0.016267,1215.2036031652046,0.033886388372557974,0.45,2,0.3358499999999367,True,1214.080130763472,0.008986198325710624,0.017068,1202.700195,8192.0,1180.196045,1292.555176
385749.0,385.749,1200.0,1183.562134,0.013575,1215.544087360391,0.027048997181097434,1.0,3,14.480370999999877,True,1214.1252051226002,0.005339302835386231,0.017068,1197.896851,1213.212402,1176.342773,1292.555176
385758.0,385.758,1200.0,1183.548218,0.013282,1215.7587798778159,0.021866921055099908,0.45,2,5.139193999999861,True,1214.1391061558315,0.0014498430053162537,0.016678,1197.896851,8192.0,1180.196045,1294.409912
385769.0,385.769,1200.0,1183.710083,0.015361,1215.9725911010328,0.023304643303333705,0.45,2,7.970004999999901,True,1214.1383285027969,-0.0022231120689632415,0.016678,1199.845337,8192.0,1184.975342,1292.336548
385778.0,385.778,1200.0,1184.209839,0.015471,1216.2108099825216,0.024995888562209245,1.0,3,20.008813999999802,True,1214.0882185800394,-0.00540735161603122,0.015986,1199.845337,1216.316528,1184.975342,1292.336548
385789.0,385.789,1200.0,1184.112427,0.015424,1216.4659627565097,0.02729661195418487,1.0,3,23.565423999999894,True,1214.0846394294936,-0.006914982349436176,0.015986,1193.723145,8192.0,1182.88208,1287.408569
385798.0,385.798,1200.0,1184.464478,0.008567,1216.7418298389578,0.02793994788059706,1.0,4,24.390365999999858,True,1214.0707805320924,-0.009100511694772348,0.015701,1193.723145,1221.395142,1178.757324,1287.395508
