tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
112779.0,112.779,711.0,690.863892,-20.136108000000036,0.020971,-0.002192,0.023163,0.26437829524462325,696.1434039999999,683.59718325,29.001015999999936,False,0.05750059690022624,0.04449477909473387,687.923035,700.966675,675.397461,739.356445
112789.0,112.789,711.0,690.895386,-20.10461399999997,0.021001,0.000948,0.020052999999999998,-0.5120713882890061,696.657015,684.11079425,28.981056999999964,False,0.05915052581390512,0.04205199014366201,689.95752,700.966675,675.397461,739.376404
112799.0,112.799,711.0,690.951599,-20.048401000000013,0.021001,0.002981,0.018019999999999998,-0.525480056050136,697.6116505,685.06542975,25.95896199999993,False,0.06076424574321493,0.04008342319253444,689.742493,701.978149,675.397461,742.398499
112809.0,112.809,711.0,691.042053,-19.95794699999999,0.020854,0.006482,0.014372000000000001,0.5256723548424769,697.7899494999999,685.2437287500001,25.722938999999997,False,0.0619714048727289,0.039460612448358745,689.742493,702.971558,675.139343,742.376404
112819.0,112.819,711.0,690.991455,-20.008545000000026,0.020854,0.012813,0.008041000000000001,1.2779590931682552,697.05188175,684.505661,25.722938999999997,False,0.06320096989762192,0.039391738434623846,683.644226,706.117554,675.139343,742.376404
112829.0,112.82900000000001,711.0,691.082642,-19.917358000000036,0.020813,0.019834,0.0009790000000000007,0.8148356151638593,698.2500325,685.70381175,30.515541999999982,False,0.06473049332228697,0.039641384622534304,683.644226,706.117554,679.931946,742.376404
112839.0,112.839,711.0,691.502625,-19.497375000000034,0.020813,0.027119,-0.006305999999999999,0.590051334342707,699.9269735,687.3807527499999,33.37509999999986,False,0.06644820349988834,0.03991335185662592,691.575684,706.117554,680.749878,740.334778
112849.0,112.849,711.0,692.361389,-18.63861099999997,0.019532,0.036881,-0.017348999999999996,0.5777236773733686,703.37352175,690.8273009999999,31.27378199999987,False,0.06829113399831499,0.0401592177310377,692.32605,717.052063,680.749878,742.436096
112859.0,112.85900000000001,711.0,693.235229,-17.764770999999996,0.019532,0.045818,-0.026285999999999997,-0.18054370305770473,703.37352175,690.8273009999999,31.27378199999987,False,0.07024460800309384,0.04028739341714527,692.32605,717.052063,680.749878,742.436096
112869.0,112.869,711.0,693.664673,-17.335327000000007,0.018224,0.04822,-0.029996,-0.502589175207075,699.6122760000001,687.06605525,27.64041999999995,False,0.07189279200799348,0.03884171807678882,692.192078,705.774414,677.116516,742.436096
112879.0,112.879,711.0,694.054688,-16.945311999999944,0.018224,0.048144,-0.02992,-0.27939376061237886,700.68289375,688.136673,25.368264000000067,False,0.0731379934712919,0.03769469666887204,692.029663,705.774414,678.202881,745.794617
112889.0,112.889,711.0,694.621216,-16.378783999999996,0.01726,0.047953,-0.030693,-0.15121001806206266,701.9010639999999,689.3548432499999,25.418557000000078,False,0.07471283741315204,0.038246080436273644,692.029663,710.697388,678.202881,745.744324
112899.0,112.899,711.0,695.166443,-15.833557000000042,0.01726,0.049604,-0.032344,0.7088816182126025,702.9715595,690.42533875,30.450477999999976,False,0.0771088197872345,0.039707052016154876,691.279724,710.697388,683.234802,745.744324
112909.0,112.909,711.0,696.03479,-14.965209999999956,0.015837,0.05269,-0.036853,0.18029111142029278,705.5296495,692.9834287499999,32.671486999999956,False,0.07983636840176445,0.04057425141422755,691.458923,720.708496,684.366333,744.654846
112919.0,112.919,711.0,696.532959,-14.467040999999995,0.015837,0.053345,-0.037508,0.36590375129373853,702.7428299999999,690.1966092499999,32.671486999999956,False,0.08238612762912112,0.03967351906796779,691.279724,709.740417,684.366333,744.654846
112929.0,112.929,711.0,697.18457,-13.815429999999992,0.014676,0.054286,-0.03961,0.5728696453951214,704.4971787499999,691.9509579999999,31.7387480000001,False,0.08449284354465192,0.03864122817452653,691.458923,715.645874,684.366333,745.587585
112939.0,112.93900000000001,711.0,697.592163,-13.407836999999972,0.014676,0.055906,-0.041229999999999996,1.224170720350085,702.822649,690.27642825,31.439918999999918,False,0.08615209034996951,0.038444496317580956,688.985718,709.740417,685.05719,746.577271
112949.0,112.949,711.0,698.22998,-12.770020000000045,0.013616,0.058517,-0.044900999999999996,0.9333608922806601,704.9318867500001,692.3856660000001,29.15458000000001,False,0.08764370326086635,0.03658142150408139,691.767273,715.645874,683.78949,747.59491
112959.0,112.959,711.0,699.163391,-11.836608999999953,0.013616,0.061973,-0.048357,0.5703848813526656,707.52276775,694.976547,28.461037999999917,False,0.08882428768226447,0.03394613744996633,694.233215,720.314514,685.05719,749.556152
112969.0,112.96900000000001,711.0,700.222534,-10.777466000000004,0.011606,0.067648,-0.056042,0.7584140517223097,709.8001727499999,697.253952,24.622109000000137,False,0.0892003624074178,0.03292893060480395,697.514038,720.314514,686.052124,754.390015
112979.0,112.979,711.0,701.285278,-9.714722000000052,0.011606,0.077992,-0.066386,1.9855760902698945,709.8001727499999,697.253952,24.622109000000137,False,0.08926132437524359,0.03212921065687624,697.514038,720.314514,686.052124,754.390015
112989.0,112.989,711.0,702.067383,-8.93261700000005,0.009742,0.088537,-0.078795,2.1668390549133068,707.29005625,694.7438355,22.047279999999887,False,0.08564656402084125,0.030174153023715178,692.589966,718.036499,683.34552,754.25824
113000.0,113.0,711.0,702.930542,-8.069458000000054,0.009742,0.096405,-0.086663,1.8819487143177331,706.2627582499999,693.7165375,26.156472000000008,False,0.09154422378301774,0.03187141486015577,692.589966,718.036499,683.34552,750.149048
113009.0,113.009,711.0,703.76825,-7.231750000000034,0.008017,0.100479,-0.092462,1.7797762315441712,704.9496629999999,692.40344225,25.64456999999993,False,0.0949865589682517,0.032532232861967714,693.238708,714.834412,681.740051,749.055481
113019.0,113.019,711.0,704.883118,-6.116882000000032,0.008017,0.104978,-0.096961,2.016436931281515,707.3836232499999,694.8374025,31.20108899999991,False,0.08916690923569348,0.02811228761575535,697.914856,714.834412,687.048157,748.807068
