ha,relock,beta,dvlim,db,score,rows,h_std,h_p1p99,h_err_p95,h_jump_p99,h_jump_max,v_std,v_p95,v_p99,v_max,dv_p99,dv_max,invalid
0.055,16.0,0.018,0.025,0.26,31.76523219923663,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.055,16.0,0.018,0.025,0.22,31.781075859217502,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.055,20.0,0.018,0.025,0.22,31.781075859217502,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.055,12.0,0.018,0.025,0.22,31.781075859217502,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.055,10.0,0.018,0.025,0.22,31.781075859217502,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.055,10.0,0.018,0.03,0.26,31.809671616084366,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.055,12.0,0.018,0.03,0.26,31.809671616084366,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.055,20.0,0.018,0.03,0.26,31.809671616084366,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.055,16.0,0.018,0.03,0.26,31.809671616084366,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.055,16.0,0.018,0.03,0.22,31.82884015120326,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
0.055,20.0,0.018,0.03,0.22,31.82884015120326,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
