I0,I1,I2,I3,I4,I5,I6,I7
108.848808,109.847420,109.348114,0.000000,0.000000,0.000000,0.000000,0.000000
108.848488,114.840157,111.844322,0.000000,0.000000,0.000000,0.000000,0.000000
112.843689,112.843689,112.843689,0.000000,0.000000,0.000000,0.000000,0.000000
111.843971,117.835609,114.839790,0.000000,0.000000,0.000000,0.000000,0.000000
111.842613,111.842613,111.842613,0.000000,0.000000,0.000000,0.000000,0.000000
107.848495,116.835876,112.342186,0.000000,0.000000,0.000000,0.000000,0.000000
110.844154,118.832924,114.838539,0.000000,0.000000,0.000000,0.000000,0.000000
106.849869,116.835831,111.842850,0.000000,0.000000,0.000000,0.000000,0.000000
107.848633,117.834625,112.841629,0.000000,0.000000,0.000000,0.000000,0.000000
110.844604,113.840401,112.342499,0.000000,0.000000,0.000000,0.000000,0.000000
107.848663,112.841660,110.345161,0.000000,0.000000,0.000000,0.000000,0.000000
109.844879,117.833595,113.839233,0.000000,0.000000,0.000000,0.000000,0.000000
108.845833,113.838753,111.342293,0.000000,0.000000,0.000000,0.000000,0.000000
104.851913,118.832161,111.842041,0.000000,0.000000,0.000000,0.000000,0.000000
106.849197,113.839325,110.344261,0.000000,0.000000,0.000000,0.000000,0.000000
109.846252,118.833679,114.339966,0.000000,0.000000,0.000000,0.000000,0.000000
109.846069,116.836281,113.341171,0.000000,0.000000,0.000000,0.000000,0.000000
104.852798,117.834579,111.343689,0.000000,0.000000,0.000000,0.000000,0.000000
108.847061,119.831619,114.339340,0.000000,0.000000,0.000000,0.000000,0.000000
105.851715,119.832130,112.841919,0.000000,0.000000,0.000000,0.000000,0.000000
102.856010,116.836441,109.846222,0.000000,0.000000,0.000000,0.000000,0.000000
103.852928,114.837379,109.345154,0.000000,0.000000,0.000000,0.000000,0.000000
110.843452,112.840637,111.842041,0.000000,0.000000,0.000000,0.000000,0.000000
107.848175,114.838333,111.343254,0.000000,0.000000,0.000000,0.000000,0.000000
107.848717,115.837517,111.843117,0.000000,0.000000,0.000000,0.000000,0.000000
110.844673,116.836281,113.840477,0.000000,0.000000,0.000000,0.000000,0.000000
