I0,I1,I2,I3,I4,I5,I6,I7,AB_I0_filt_mm,AB_I1_filt_mm,AB_h_pred_mm,AB_q0,AB_q1,AB_z_meas_mm,AB_fused_h_mm,AB_fused_vz_mps,AB_valid,AB_hold_cnt,AB_predict_only,AB_hard_relock
107.844719,113.836098,110.840408,0.000000,0.000000,0.000000,0.000000,0.000000,105.847633,113.836098,109.170048,0.972313,0.961116,109.818734,109.286811,-0.031215,1,0,0,0
105.847618,114.834686,110.341156,0.000000,0.000000,0.000000,0.000000,0.000000,105.847618,113.836098,108.974666,0.973941,0.959488,109.811999,109.125386,-0.028703,1,0,0,0
106.846191,113.836128,110.341156,0.000000,0.000000,0.000000,0.000000,0.000000,106.846191,113.836128,108.838360,0.983399,0.958352,110.296078,109.100749,-0.024329,1,0,0,0
106.846176,118.828926,112.837555,0.000000,0.000000,0.000000,0.000000,0.000000,106.846176,114.834686,108.857455,0.983239,0.950190,110.772154,109.202101,-0.018585,1,0,0,0
109.841850,116.831779,113.336815,0.000000,0.000000,0.000000,0.000000,0.000000,106.846191,116.831779,109.016247,0.981916,0.934871,111.716442,109.502282,-0.010485,1,0,0,0
108.843315,112.837563,110.840439,0.000000,0.000000,0.000000,0.000000,0.000000,108.843315,116.831779,109.397435,0.995382,0.938047,112.719099,109.995335,-0.000520,1,0,0,0
102.851967,117.830414,110.341187,0.000000,0.000000,0.000000,0.000000,0.000000,108.843315,116.831779,109.990137,0.990443,0.942986,112.739507,110.485024,0.007728,1,0,0,0
108.843353,114.834732,111.839043,0.000000,0.000000,0.000000,0.000000,0.000000,108.843315,114.834732,110.562307,0.985675,0.964396,111.806335,110.786232,0.011460,1,0,0,0
100.854874,115.833321,108.344101,0.000000,0.000000,0.000000,0.000000,0.000000,102.851967,115.833321,110.900837,0.932926,0.958896,109.431744,110.636400,0.007053,1,0,0,0
107.844841,114.834785,111.339813,0.000000,0.000000,0.000000,0.000000,0.000000,107.844841,114.834785,110.706932,0.976149,0.965601,111.320828,110.817433,0.008895,1,0,0,0
105.847725,118.829048,112.338387,0.000000,0.000000,0.000000,0.000000,0.000000,105.847725,115.833321,110.906381,0.957845,0.958942,110.843382,110.895042,0.008706,1,0,0,0
107.844818,116.831886,112.338348,0.000000,0.000000,0.000000,0.000000,0.000000,107.844818,116.831886,110.982100,0.973856,0.951252,112.285590,111.216728,0.012616,1,0,0,0
103.850571,114.834770,109.342667,0.000000,0.000000,0.000000,0.000000,0.000000,105.847725,116.831886,111.342892,0.954207,0.954258,111.339954,111.342363,0.012608,1,0,0,0
108.843361,113.836174,111.339767,0.000000,0.000000,0.000000,0.000000,0.000000,107.844818,114.834770,111.468438,0.969803,0.971947,111.343653,111.445977,0.012233,1,0,0,0
105.847633,123.821762,114.834702,0.000000,0.000000,0.000000,0.000000,0.000000,105.847633,114.834770,111.568308,0.952328,0.972779,110.388940,111.356022,0.008695,1,0,0,0
111.839035,115.833290,113.836166,0.000000,0.000000,0.000000,0.000000,0.000000,108.843361,115.833290,111.442972,0.978337,0.963414,112.311466,111.599301,0.011301,1,0,0,0
106.846191,120.826065,113.836128,0.000000,0.000000,0.000000,0.000000,0.000000,106.846191,120.826065,111.712307,0.959449,0.924052,113.704765,112.070949,0.017278,1,0,0,0
105.847633,108.843323,107.345474,0.000000,0.000000,0.000000,0.000000,0.000000,106.846191,115.833290,112.243728,0.955021,0.970087,111.374908,112.087341,0.014671,1,0,0,0
107.844742,114.834679,111.339706,0.000000,0.000000,0.000000,0.000000,0.000000,106.846191,114.834679,112.234055,0.955101,0.978328,110.888419,111.991841,0.010635,1,0,0,0
