I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14_KF3_VZ_OPT,I15_KF3_H_M,I16_KF3_ACC_BIAS,I17_KF3_QUALITY,I18_KF2_VZ,I19_LS15_VZ_REFONLY
124877.000000,778.126526,801.567871,760.322388,839.925842,0.209175,-2.827185,0.684439,-0.577871,781.939819,-0.375676,-0.516540,-0.494530,-0.520226,-0.383391,0.787275,0.119726,0.638575,-0.376598,-0.400282
124887.000000,777.020264,800.558472,759.530029,839.890930,0.218366,-2.815270,-0.488928,-0.567475,777.980408,-0.371357,-0.504172,-0.481932,-0.507990,-0.374922,0.783853,0.118885,0.639597,-0.371449,-0.385234
124897.000000,773.167236,788.559570,758.538574,835.876709,0.204637,-2.811978,-1.261569,-0.561156,773.411499,-0.364127,-0.501168,-0.483183,-0.505117,-0.368803,0.779957,0.119288,0.700254,-0.362368,-0.382064
124907.000000,763.165710,783.586670,745.641663,829.903687,0.185656,-2.794259,-1.478799,-0.557991,768.353821,-0.357458,-0.503936,-0.491728,-0.507925,-0.363684,0.775739,0.120562,0.640607,-0.353574,-0.387615
124917.000000,762.171448,771.494568,744.582397,828.926147,0.159975,-2.767843,-0.872962,-0.556644,763.009644,-0.359627,-0.510387,-0.504706,-0.514298,-0.361758,0.771202,0.122650,0.693385,-0.353453,-0.400789
124927.000000,760.184143,768.470825,740.733398,820.963013,0.147680,-2.748928,-0.190169,-0.551872,758.278198,-0.364994,-0.508712,-0.504615,-0.512426,-0.360155,0.766965,0.124092,0.696216,-0.357934,-0.418012
124937.000000,753.131104,768.470825,735.791138,816.977600,0.077427,-2.734910,0.907517,-0.546132,753.763977,-0.379629,-0.504289,-0.500078,-0.507795,-0.362830,0.762819,0.125314,0.671261,-0.372385,-0.438070
124947.000000,753.131104,768.470825,732.042664,814.080444,0.038633,-2.701268,2.639586,-0.535458,750.170654,-0.406144,-0.489536,-0.480642,-0.492844,-0.370406,0.759125,0.125376,0.653515,-0.400211,-0.452077
124957.000000,753.131104,769.305176,728.929382,810.069458,0.064740,-2.662431,3.919310,-0.520338,747.462158,-0.440079,-0.465959,-0.449314,-0.469174,-0.384018,0.755842,0.124252,0.642749,-0.436664,-0.450587
124967.000000,741.397766,769.305176,721.083313,808.129333,0.109325,-2.616638,2.783190,-0.509833,744.097229,-0.465266,-0.452318,-0.433381,-0.455589,-0.403496,0.752081,0.123844,0.600644,-0.463456,-0.439366
124977.000000,740.254211,759.356689,720.096375,802.987427,0.178756,-2.551508,0.923173,-0.501095,740.527893,-0.473132,-0.443486,-0.425070,-0.446847,-0.421240,0.747953,0.123854,0.640329,-0.472517,-0.419476
