I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
30628.000000,370.372803,378.641724,347.865631,399.100037,1.869832,-1.000039,-0.257515,0.110601,393.931610
30638.000000,370.397980,379.650848,347.865631,399.100037,1.868901,-0.978947,-0.377043,0.101527,393.540436
30648.000000,370.372803,379.650848,348.935272,400.079407,1.866911,-0.935478,-0.151678,0.094011,393.091675
30658.000000,369.450470,378.494110,349.877228,400.079407,1.851133,-0.870700,0.539374,0.086302,392.514954
30668.000000,367.512238,375.583313,351.040680,400.032837,1.805340,-0.828782,0.069981,0.076591,391.689545
30678.000000,367.512238,378.494110,351.040680,397.999603,1.737081,-0.829280,-0.765489,0.068265,390.971069
30688.000000,368.416992,379.265594,353.167908,398.212616,1.702823,-0.833631,-0.652580,0.062726,390.295135
30698.000000,369.366943,379.265594,348.333008,398.212616,1.702960,-0.835807,0.356043,0.058660,389.693512
30708.000000,369.366943,378.283173,350.311340,401.213013,1.724725,-0.823059,0.795423,0.052559,389.027161
30718.000000,368.396362,375.270233,348.333008,401.213013,1.704137,-0.811630,0.505659,0.043571,388.182892
30728.000000,368.396362,376.162231,350.311340,401.310425,1.634125,-0.817997,0.316256,0.034007,387.338959
30738.000000,368.396362,375.138336,349.501801,401.310425,1.599168,-0.837947,-0.449601,0.024903,386.429596
30748.000000,368.227936,376.162231,352.467010,401.310425,1.632478,-0.841976,0.063285,0.017822,385.537842
30758.000000,368.227936,377.184723,350.373779,400.263092,1.675483,-0.838879,0.611924,0.011082,384.704468
30768.000000,367.266754,378.244720,351.362946,400.263092,1.679359,-0.841994,0.033845,0.003561,383.868683
30778.000000,369.325226,380.291626,351.304077,400.263092,1.694293,-0.869632,-0.516909,-0.002219,383.202728
30788.000000,370.299042,378.244720,351.362946,399.255310,1.724049,-0.909997,-0.891833,-0.005891,382.494110
30798.000000,371.310333,378.430389,351.304077,399.255310,1.745363,-0.939160,-1.201285,-0.006511,381.866730
30808.000000,370.299042,378.430389,354.202850,399.255310,1.760298,-0.923809,-1.255123,-0.004631,381.237579
30818.000000,372.288849,378.433624,353.102173,401.248108,1.801676,-0.887060,-1.169922,-0.000224,380.762634
30828.000000,369.328918,378.533783,354.983917,401.919281,1.890612,-0.860768,-0.870217,0.004764,380.263519
30838.000000,372.687286,382.567963,353.102173,402.098236,1.948556,-0.826226,-0.237346,0.010897,380.145721
30848.000000,368.728241,382.507782,354.983917,403.758026,1.936695,-0.783029,-0.133492,0.014572,379.907776
30858.000000,372.687286,382.567963,356.156799,403.758026,1.873430,-0.743086,-0.433729,0.017500,379.871368
30868.000000,371.665680,382.507782,356.156799,403.758026,1.798371,-0.689198,-0.272174,0.019788,379.817932
30878.000000,375.692810,382.186646,355.349213,402.852020,1.797512,-0.645786,-0.457394,0.022316,379.947174
30888.000000,375.715179,382.186646,352.404999,405.696198,1.867237,-0.612785,0.099521,0.024443,380.091003
30898.000000,375.715179,385.238037,352.404999,404.584412,1.922056,-0.595501,0.263882,0.025615,380.369995
30908.000000,375.843872,385.290924,353.255798,405.696198,1.945962,-0.569775,0.753280,0.024809,380.629730
30918.000000,374.934662,385.290924,357.243896,407.473267,1.956666,-0.549073,1.078988,0.021050,380.787537
30928.000000,375.995209,385.282104,359.249359,407.473267,1.962809,-0.533996,1.166532,0.014696,380.921173
30938.000000,376.059479,384.274139,359.257019,1300.000000,1.946617,-0.505885,1.188987,0.003727,380.426575
30948.000000,376.072906,383.224060,360.317596,408.436432,1.923001,-0.461741,0.615550,-0.006104,380.332733
30958.000000,376.096039,383.224060,360.477783,411.465546,1.894679,-0.445330,-0.939510,-0.014530,380.148560
30968.000000,376.138855,387.090698,362.409119,411.385681,1.940314,-0.444118,-1.056310,-0.017554,380.074768
30978.000000,381.076996,392.143646,361.294220,411.385681,2.002618,-0.445238,-0.240750,-0.015616,380.396729
30988.000000,377.229187,392.143646,364.399628,411.385681,2.009046,-0.440091,0.760071,-0.014713,380.538147
30998.000000,382.211853,390.226166,365.286835,414.260620,1.979500,-0.414378,1.773016,-0.016422,380.785583
31008.000000,383.195068,390.226166,365.286835,415.283203,1.944984,-0.398266,1.307150,-0.022478,381.014954
31018.000000,385.158081,391.094879,365.367767,415.367249,1.929144,-0.411654,0.218130,-0.029527,381.281006
31028.000000,384.137634,391.094879,366.378754,418.323517,1.948187,-0.449346,-0.512473,-0.034890,381.406464
31038.000000,385.158081,391.094879,368.309601,418.373535,1.976071,-0.466542,-1.090725,-0.036436,381.531586
31048.000000,384.137634,395.210754,368.309601,419.343292,1.994998,-0.458107,-1.047630,-0.033630,381.762177
31058.000000,387.221680,395.225128,371.280212,422.256195,2.009593,-0.441621,-0.708368,-0.027850,382.128693
31068.000000,387.221680,398.268738,371.280212,423.180359,2.050080,-0.437374,0.107780,-0.021258,382.638580
31078.000000,389.275604,400.222107,371.280212,422.256195,2.105984,-0.432585,0.217697,-0.015769,383.336639
31088.000000,389.275604,401.330109,373.087006,423.180359,2.121014,-0.442223,-0.089384,-0.011528,384.059784
31098.000000,393.347504,402.358246,373.124329,426.059357,2.061901,-0.438372,-1.063181,-0.006245,384.971527
31108.000000,394.285645,403.181763,375.191864,428.222565,2.006713,-0.409654,-1.405671,0.001659,385.930603
31118.000000,395.251068,404.280273,376.383148,429.229187,1.987024,-0.384810,-2.072658,0.012846,386.982605
31128.000000,397.254883,406.128387,377.319336,429.229187,2.019730,-0.356599,-1.348369,0.027762,388.234894
31138.000000,398.328247,410.128937,382.356720,432.139435,2.046931,-0.320445,-0.581737,0.043384,389.710754
31148.000000,399.436920,410.128937,382.410095,433.051575,2.038647,-0.283750,0.359370,0.056464,391.255371
31158.000000,402.401947,410.128937,385.350739,439.021729,1.999011,-0.251989,1.058768,0.065204,392.875763
31168.000000,402.423431,414.991272,385.513550,441.184174,1.918260,-0.241621,0.852898,0.069670,394.610199
31178.000000,408.219818,416.878998,388.763062,441.184174,1.846072,-0.260519,0.200739,0.072620,396.564575
31188.000000,409.331390,417.809784,390.661041,441.184174,1.798726,-0.297313,-0.111373,0.075347,398.480530
31198.000000,410.033264,418.790771,390.799164,442.452087,1.754343,-0.320159,0.111039,0.078416,400.343414
31208.000000,410.033264,421.758881,391.846893,444.552582,1.688795,-0.317371,0.103047,0.081352,402.197113
31218.000000,409.888550,422.603058,392.052521,446.661011,1.635656,-0.315227,-0.078022,0.083803,403.952545
31228.000000,409.888550,424.605621,393.959839,448.748474,1.621223,-0.335007,0.155199,0.086209,405.660797
31238.000000,410.846283,424.605621,394.941528,451.793518,1.651587,-0.385311,0.750435,0.087574,407.285004
31248.000000,414.823578,426.698395,397.051270,453.795746,1.697268,-0.432512,0.235027,0.088089,409.034180
