flight,estimator,axis,rms_vs_online_deg,mean_vs_online_deg,p95_abs_vs_online_deg,max_abs_vs_online_deg,final_vs_online_deg,range_deg
5,complementary_rp,pitch,5.832408806786574,3.529841565008307,12.873491697245395,18.470398975259986,0.4902427743218256,24.489670032399154
5,gyro_only,roll,7.176291755535437,6.213011490422324,12.263090678550023,16.524117837217037,2.8844898784575395,52.40819150415758
5,gyro_only,pitch,22.309698157681176,-18.71489177433357,39.99545648622492,43.42937576010391,-43.42937576010391,50.804287152758356
6,repo_mahony,roll,2.910937537414347,-2.8324835027404913,4.395496470492279,4.899416462617441,-2.651364085657499,40.399408402420775
6,repo_mahony,pitch,1.0788116365365337,-0.7422575273600006,1.4758377446284965,2.7358514275160255,-1.1562738656276448,35.81121660992237
6,soft_mahony,roll,3.2720125268757423,-3.006631481916365,5.535969935671011,8.451872803840011,-2.5385972381616755,41.764221632793834
6,soft_mahony,pitch,1.8029424378016317,0.6701048454940824,4.307508305896391,6.381476851134797,-0.2232890009969961,37.20080021394128
6,madgwick_imu,roll,3.230602671031443,-2.9455562468005194,5.250244857782675,12.557884790388169,-2.536907654612668,38.69980942087823
6,madgwick_imu,pitch,1.7409446331129024,0.6178222045129803,3.8473540968332656,8.62157993735283,-0.16668273797530064,34.65416974402447
6,complementary_rp,roll,4.066991531543183,-2.8390312021279147,8.878589313852103,15.330370110714986,-2.533943007815161,22.41997401327443
6,complementary_rp,pitch,2.995676091452849,0.4094426456138841,7.204815356124467,14.644415303945177,-0.22745386618595598,20.81063203931646
6,gyro_only,roll,1.7485770700840335,-1.0960510122088127,3.507659960391389,3.907164758061767,-3.810267559231294,43.97181930535051
6,gyro_only,pitch,9.697697566626534,-8.762933805534404,16.240640963793027,18.70532634396602,-18.70532634396602,36.51674665698784
