t_ms,online_roll,online_pitch,repo_mahony_roll_aligned,repo_mahony_pitch_aligned,soft_mahony_roll_aligned,soft_mahony_pitch_aligned,madgwick_imu_roll_aligned,madgwick_imu_pitch_aligned,complementary_rp_roll_aligned,complementary_rp_pitch_aligned,gyro_only_roll_aligned,gyro_only_pitch_aligned,repo_mahony_accel_mag,repo_mahony_acc_weight,soft_mahony_acc_weight
67799.0,18.331177,-18.741373,15.510330579898461,-21.98275892457317,11.778835372444483,-16.622348314187473,12.809354219255889,-16.413420483445293,2.3289586367258988,-4.380628481934285,15.331704199980226,-30.578318054817206,1.0988690601636757,0.011309398363243073,0.7175169709609266
67800.0,18.326048,-18.729156,15.504753540264328,-21.97033578526196,11.762754224056472,-16.599149335751356,12.802699306715283,-16.39862643168358,2.314855084543429,-4.360633950772701,15.324974150557182,-30.56671267314858,1.0816932489509214,0.1830675104907855,0.7665907172830816
67801.0,18.319611,-18.715759,15.49788945868599,-21.956637584126735,11.745648795522001,-16.57499640953215,12.795834051058709,-16.383545257231994,2.30095316252277,-4.340944971635926,15.318097685101517,-30.554804315659737,1.0604189725999813,0.395810274000187,0.8273743640000534
67802.0,18.31226,-18.702209,15.490139798966812,-21.942703937103328,11.727968117840803,-16.550901154122123,12.788870614313996,-16.368994296375973,2.2875797527605677,-4.322372107408423,15.311245845826434,-30.543417942155145,1.0434765345876256,0.5652346541237443,0.8757813297496412
67805.0,18.304375,-18.68914,15.465367241809133,-21.902160152923816,11.673549673050804,-16.480977965577548,12.767951994210566,-16.32819374208089,2.2476644901354286,-4.272033445892057,15.291159836531435,-30.511944172420904,1.031820821457873,0.6817917854212698,0.9090833672632199
67806.0,18.281231,-18.654814,15.458537659625172,-21.89178494479323,11.656850002338516,-16.462077355652955,12.762055715988462,-16.31772637750521,2.2356653431370113,-4.26158885640308,15.286087533405652,-30.504347225475488,0.9684093412323117,0.684093412323117,0.909740974949462
67807.0,18.276293,-18.645918,15.45325209224411,-21.882557110313073,11.641832730442818,-16.44452062756446,12.756581211166539,-16.30753146137082,2.224771669206178,-4.252371186852565,15.28145301806991,-30.496988258394353,0.9475373372537886,0.47537337253788636,0.8501066778679676
67808.0,18.272337,-18.637165,15.448938798069143,-21.873554046723285,11.627925736107947,-16.427262277518533,12.751264338017597,-16.296901091734984,2.214607558842178,-4.243283468327271,15.276926764685765,-30.489185433585988,0.9313114367626976,0.31311436762697564,0.8037469621791359
67809.0,18.268473,-18.627701,15.44470309399312,-21.86388634334956,11.614220954852804,-16.409413234963793,12.745591431991423,-16.285250675733277,2.2044850918664354,-4.233616652499751,15.272004192425332,-30.480354725655822,0.9223374372050611,0.22337437205061117,0.7781069634430318
67810.0,18.264431,-18.617094,15.440283582038155,-21.853122983980906,11.600530943304353,-16.390576187932517,12.73922242985663,-16.272081698181065,2.1942697464679677,-4.223047550814309,15.266329675397824,-30.469997197888148,0.911425355234865,0.11425355234865009,0.7469295863853286
