flight,estimator,axis,rms_vs_algo_median_deg,mean_vs_algo_median_deg,p95_abs_vs_algo_median_deg,max_abs_vs_algo_median_deg
3,complementary_rp,pitch,2.798809241542355,0.9034161376142564,6.333902052268941,12.982874737363563
3,gyro_only,pitch,23.663059674861113,-19.942242271622586,37.96812068211571,41.569870255871834
4,repo_mahony,roll,1.5252870033453656,0.5669404414409099,3.488226770503269,6.714830831292455
4,soft_mahony,roll,0.6666016410243655,-0.2166396776658901,1.5861570305693524,4.974787736945634
4,madgwick_imu,roll,1.0960524099149798,-0.28573856229646244,1.7642444349048778,12.907599802642833
4,complementary_rp,roll,2.4749244531363797,-0.48808795549538414,6.093314538209646,12.20044413648074
4,gyro_only,roll,6.582623885909064,5.858814678339419,10.424921512465339,12.93537595240666
4,repo_mahony,pitch,1.6640304950228255,-0.4953265656286459,3.9247565102319197,5.227450438251125
4,soft_mahony,pitch,0.8343613170274846,0.45064969413852773,1.7770755253638189,4.42889326277839
4,madgwick_imu,pitch,0.6244810570829373,0.14343806087654168,1.520588502879179,4.111692827450206
4,complementary_rp,pitch,2.1550288482943145,0.37220913134234496,5.48851847399238,10.030582130494345
4,gyro_only,pitch,6.223068291205193,-5.140252280613982,11.362540620775365,15.993130550738329
5,repo_mahony,roll,2.1890742164154626,0.9019739999503542,4.949810433111689,8.55612191587501
5,soft_mahony,roll,0.8766714660127498,-0.31257211718688915,2.093148946169337,5.0890940544604835
5,madgwick_imu,roll,1.2813740586238023,-0.5613344629073664,2.188234123734017,13.390388903002819
5,complementary_rp,roll,3.8621789261360653,-0.5442617756925499,9.43460083454854,17.496879883306686
5,gyro_only,roll,7.2769360006074635,5.844592418021568,13.63189397932951,19.134644033915727
5,repo_mahony,pitch,4.712155667352223,-3.5758898089846944,9.961972415311912,14.296979831814843
5,soft_mahony,pitch,1.8416789626426486,0.9033358057802484,4.52928180422604,10.51841529420761
5,madgwick_imu,pitch,1.8707141868590167,0.9822594878924885,4.205786363269026,11.10135077711185
5,complementary_rp,pitch,2.931206326934002,1.3484577814862932,7.76074736829937,12.464908500988027
5,gyro_only,pitch,24.735351326178034,-20.896275557855578,43.00886523799565,43.91443116326473
6,repo_mahony,roll,1.0119309931717941,-0.035863334735075365,2.2738571347821646,4.965627216016916
6,soft_mahony,roll,0.5679815433793975,-0.21001131391094946,1.1471050927901834,5.158255912039905
6,madgwick_imu,roll,0.8292671773541797,-0.148936078795103,1.1101021010837533,9.699418906041126
6,complementary_rp,roll,2.300048342838338,-0.042411034122498976,5.128272262417149,16.402575239008925
6,gyro_only,roll,2.58068288594823,1.7005691557966027,5.124001607541064,10.22634071483892
6,repo_mahony,pitch,1.5393009437932237,-0.9262253800244482,3.806146973274493,5.223537107230098
6,soft_mahony,pitch,0.9790583737291733,0.48613699282963513,2.249825054106578,5.277852421144429
6,madgwick_imu,pitch,1.0243819551233322,0.4338543518485328,2.0982956051014687,9.350048732402225
6,complementary_rp,pitch,1.9999757528044304,0.22547479294943654,4.797056876061604,10.765639863046163
6,gyro_only,pitch,10.181625141362602,-8.946901658198852,17.5524657584887,18.477872477780068
