I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
272301.000000,1000.000000,978.103516,1.000000,0.023075,0.062870,0.062870,253.861954,0.022151,0.000000,0.000924,-35.816059,289.678009,0.000000,8192.000000,1025.151367,962.069946,1020.304077,8192.000000,1027.000000,963.000000,1016.000000,0.000000,1.000000,1.000000,1.000000,0.273704,1.609423,-5.597365,4.977343,4.181062,6.402224,20.652256,4217.000000
272311.000000,1000.000000,978.440002,1.000000,0.023075,0.079785,0.079785,238.584991,0.022151,0.000000,0.000924,-51.039150,289.624146,0.000000,842.878662,1025.151367,964.041016,1020.304077,841.000000,1008.000000,964.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,0.274537,1.578086,-5.632405,3.534002,3.507133,-4.419067,17.241188,4205.000000
272321.000000,1000.000000,978.792480,1.000000,0.022496,0.090655,0.090655,228.215836,0.021560,0.000000,0.000936,-61.343555,289.559387,0.000000,842.878662,1019.252014,964.041016,1013.345886,826.000000,1021.000000,957.000000,1011.000000,1.000000,1.000000,1.000000,1.000000,0.284733,1.558657,-5.660600,3.534002,3.507133,-4.419067,17.241188,4190.000000
272331.000000,1000.000000,979.119446,1.000000,0.022496,0.093553,0.093553,225.540802,0.021560,0.000000,0.000936,-63.951077,289.491882,0.000000,827.884399,1007.380737,960.868164,1020.323975,812.000000,1009.000000,960.000000,1023.000000,1.000000,1.000000,1.000000,1.000000,0.355265,1.542171,-5.690119,2.459643,3.442373,-5.395123,11.483829,4179.000000
272341.000000,1000.000000,979.405579,1.000000,0.021826,0.086309,0.086309,231.395691,0.020881,0.000000,0.000946,-58.034935,289.430634,0.000000,813.976013,1016.401123,960.868164,1008.413208,766.000000,1018.000000,964.000000,1004.000000,1.000000,1.000000,1.000000,1.000000,0.396749,1.562372,-5.716470,2.459643,3.442373,-5.395123,11.483829,4177.000000
272351.000000,1000.000000,979.667358,1.000000,0.021826,0.073410,0.073410,242.955887,0.020881,0.000000,0.000946,-46.425739,289.381622,0.000000,8192.000000,1007.380737,960.868164,1020.323975,8192.000000,997.000000,955.000000,1024.000000,0.000000,1.000000,1.000000,1.000000,0.424548,1.541297,-5.741071,4.302680,4.745944,-4.494061,6.930916,4182.000000
272361.000000,1000.000000,979.885803,1.000000,0.021286,0.060879,0.060879,253.710327,0.020333,0.000000,0.000953,-35.633663,289.343994,0.000000,794.106934,1007.639404,964.814636,1010.225159,792.000000,1009.000000,966.000000,1013.000000,1.000000,1.000000,1.000000,1.000000,0.477351,1.483894,-5.759192,4.302680,4.745944,-4.494061,6.930916,4194.000000
272371.000000,1000.000000,980.092102,1.000000,0.021286,0.049479,0.049479,263.943298,0.020333,0.000000,0.000953,-25.373892,289.317200,0.000000,811.106384,1007.639404,966.629822,1015.273315,809.000000,1027.000000,968.000000,1018.000000,1.000000,1.000000,1.000000,1.000000,0.533438,1.394553,-5.774852,5.734845,5.817795,-12.849894,36.888348,4205.000000
272381.000000,1000.000000,980.297913,1.000000,0.020867,0.036740,0.036740,275.016327,0.019908,0.000000,0.000959,-14.285795,289.302124,0.000000,810.092529,1011.989441,966.629822,1015.273315,808.000000,1013.000000,957.000000,1030.000000,1.000000,1.000000,1.000000,1.000000,0.561029,1.330891,-5.789403,5.734845,5.817795,-12.849894,36.888348,4215.000000
272391.000000,1000.000000,980.522644,1.000000,0.020867,0.023838,0.023838,286.625153,0.019908,0.000000,0.000959,-2.674154,289.299316,0.000000,811.106384,1020.083557,965.310425,1017.351501,821.000000,1021.000000,965.000000,1020.000000,1.000000,1.000000,1.000000,1.000000,0.585334,1.288896,-5.801410,7.906223,4.724739,0.550023,1.948360,4226.000000
272401.000000,1000.000000,980.770569,1.000000,0.020440,0.013255,0.013255,295.772614,0.019477,0.000000,0.000963,6.466457,289.306152,0.000000,810.092529,1015.245483,965.310425,1025.373535,797.000000,1016.000000,966.000000,1028.000000,1.000000,1.000000,1.000000,1.000000,0.631287,1.222853,-5.815151,7.906223,4.724739,0.550023,1.948360,4237.000000
272411.000000,1000.000000,981.050537,1.000000,0.020440,0.006116,0.006116,302.211182,0.019477,0.000000,0.000963,12.891428,289.319763,0.000000,823.086792,1015.245483,966.182861,1025.373535,844.000000,1011.000000,968.000000,1028.000000,1.000000,1.000000,1.000000,1.000000,0.696002,1.148124,-5.825870,9.192837,3.448793,-8.923947,7.856691,4246.000000
272421.000000,1000.000000,981.349487,1.000000,0.019915,0.000642,0.000642,306.683411,0.018949,0.000000,0.000965,17.345331,289.338074,0.000000,8192.000000,1015.245483,968.014648,1025.373535,8192.000000,1024.000000,969.000000,1028.000000,0.000000,1.000000,1.000000,1.000000,0.750330,1.137618,-5.832322,9.192837,3.448793,-8.923947,7.856691,4253.000000
272431.000000,1000.000000,981.673645,1.000000,0.019915,-0.000539,-0.000539,307.765533,0.018949,0.000000,0.000965,18.408009,289.357513,0.000000,824.184204,1017.546570,968.014648,1025.300415,822.000000,1018.000000,962.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,0.760657,1.131162,-5.834254,11.275262,2.930106,-0.241688,17.423300,4257.000000
272441.000000,1000.000000,981.987915,1.000000,0.019292,0.000637,0.000637,306.165558,0.018326,0.000000,0.000966,16.790302,289.375244,0.000000,824.184204,1017.546570,961.893250,1022.338074,809.000000,1009.000000,948.000000,1025.000000,1.000000,1.000000,1.000000,1.000000,0.755324,1.107092,-5.839025,11.275262,2.930106,-0.241688,17.423300,4258.000000
272451.000000,1000.000000,982.260620,1.000000,0.019292,0.002028,0.002028,304.929718,0.018326,0.000000,0.000966,15.538089,289.391632,0.000000,811.160095,1008.578186,961.893250,1022.338074,806.000000,998.000000,972.000000,1025.000000,1.000000,1.000000,1.000000,1.000000,0.754219,1.094700,-5.847931,10.719087,2.786299,-3.228473,11.739842,4257.000000
272461.000000,1000.000000,982.516541,1.000000,0.018705,0.004700,0.004700,302.009277,0.017739,0.000000,0.000965,12.604352,289.404938,0.000000,808.148682,1008.578186,971.871643,1022.338074,792.000000,1016.000000,978.000000,1020.000000,1.000000,1.000000,1.000000,1.000000,0.747886,1.094700,-5.847980,10.719087,2.786299,-3.228473,11.739842,4255.000000
