flight,variant,kp,ki,min_g,max_g,band_g,ref,axis,rms_diff_deg,p95_abs_diff_deg,mean_diff_deg,final_diff_deg,acc_used_pct,acc_weight_mean
1,mahony_kp0.30_ki0.05_band0.35,0.3,0.05,0.3,3,0.35,madgwick_imu,pitch,1.98914,4.59829,0.634983,-0.152067,80.5206,0.57525
1,mahony_kp0.35_ki0.00_band0.35,0.35,0,0.3,3,0.35,quat_ekf,roll,2.88142,6.01463,0.631557,0.795968,80.5206,0.57525
1,mahony_kp0.35_ki0.00_band0.35,0.35,0,0.3,3,0.35,quat_ekf,pitch,3.42392,7.20955,-1.94068,-0.235039,80.5206,0.57525
1,mahony_kp0.35_ki0.00_band0.35,0.35,0,0.3,3,0.35,madgwick_imu,roll,1.71,3.46311,0.00728595,0.264918,80.5206,0.57525
1,mahony_kp0.35_ki0.00_band0.35,0.35,0,0.3,3,0.35,madgwick_imu,pitch,1.65807,3.1459,-0.105198,-0.148936,80.5206,0.57525
1,mahony_kp0.35_ki0.01_band0.35,0.35,0.01,0.3,3,0.35,quat_ekf,roll,2.88243,6.01675,0.622627,0.679626,80.5206,0.57525
1,mahony_kp0.35_ki0.01_band0.35,0.35,0.01,0.3,3,0.35,quat_ekf,pitch,3.33869,7.18084,-1.78554,-0.147192,80.5206,0.57525
1,mahony_kp0.35_ki0.01_band0.35,0.35,0.01,0.3,3,0.35,madgwick_imu,roll,1.70868,3.46596,-0.00164441,0.148576,80.5206,0.57525
1,mahony_kp0.35_ki0.01_band0.35,0.35,0.01,0.3,3,0.35,madgwick_imu,pitch,1.67046,3.29062,0.049938,-0.0610888,80.5206,0.57525
1,mahony_kp0.35_ki0.02_band0.35,0.35,0.02,0.3,3,0.35,quat_ekf,roll,2.88339,6.02028,0.613987,0.576903,80.5206,0.57525
1,mahony_kp0.35_ki0.02_band0.35,0.35,0.02,0.3,3,0.35,quat_ekf,pitch,3.2659,7.16457,-1.64455,-0.100005,80.5206,0.57525
1,mahony_kp0.35_ki0.02_band0.35,0.35,0.02,0.3,3,0.35,madgwick_imu,roll,1.70769,3.46736,-0.010284,0.0458528,80.5206,0.57525
1,mahony_kp0.35_ki0.02_band0.35,0.35,0.02,0.3,3,0.35,madgwick_imu,pitch,1.6958,3.47367,0.190924,-0.0139024,80.5206,0.57525
1,mahony_kp0.35_ki0.05_band0.35,0.35,0.05,0.3,3,0.35,quat_ekf,roll,2.88567,6.01267,0.589712,0.340294,80.5206,0.57525
1,mahony_kp0.35_ki0.05_band0.35,0.35,0.05,0.3,3,0.35,quat_ekf,pitch,3.10791,6.90499,-1.29732,-0.11682,80.5206,0.57525
1,mahony_kp0.35_ki0.05_band0.35,0.35,0.05,0.3,3,0.35,madgwick_imu,roll,1.70613,3.46572,-0.0345587,-0.190756,80.5206,0.57525
1,mahony_kp0.35_ki0.05_band0.35,0.35,0.05,0.3,3,0.35,madgwick_imu,pitch,1.81252,4.02746,0.538153,-0.0307171,80.5206,0.57525
1,mahony_kp0.40_ki0.00_band0.35,0.4,0,0.3,3,0.35,quat_ekf,roll,2.86258,6.02794,0.634714,0.736861,80.5206,0.57525
1,mahony_kp0.40_ki0.00_band0.35,0.4,0,0.3,3,0.35,quat_ekf,pitch,3.35807,7.10504,-1.90454,-0.230781,80.5206,0.57525
1,mahony_kp0.40_ki0.00_band0.35,0.4,0,0.3,3,0.35,madgwick_imu,roll,1.66317,3.37069,0.0104429,0.205811,80.5206,0.57525
1,mahony_kp0.40_ki0.00_band0.35,0.4,0,0.3,3,0.35,madgwick_imu,pitch,1.54104,2.82284,-0.0690605,-0.144678,80.5206,0.57525
1,mahony_kp0.40_ki0.01_band0.35,0.4,0.01,0.3,3,0.35,quat_ekf,roll,2.86353,6.0317,0.627362,0.647894,80.5206,0.57525
1,mahony_kp0.40_ki0.01_band0.35,0.4,0.01,0.3,3,0.35,quat_ekf,pitch,3.28725,7.04303,-1.77713,-0.140813,80.5206,0.57525
1,mahony_kp0.40_ki0.01_band0.35,0.4,0.01,0.3,3,0.35,madgwick_imu,roll,1.66237,3.36918,0.00309102,0.116844,80.5206,0.57525
1,mahony_kp0.40_ki0.01_band0.35,0.4,0.01,0.3,3,0.35,madgwick_imu,pitch,1.55279,2.93116,0.0583469,-0.0547103,80.5206,0.57525
1,mahony_kp0.40_ki0.02_band0.35,0.4,0.02,0.3,3,0.35,quat_ekf,roll,2.86439,6.03918,0.620241,0.569212,80.5206,0.57525
1,mahony_kp0.40_ki0.02_band0.35,0.4,0.02,0.3,3,0.35,quat_ekf,pitch,3.2258,7.02862,-1.66092,-0.0824403,80.5206,0.57525
1,mahony_kp0.40_ki0.02_band0.35,0.4,0.02,0.3,3,0.35,madgwick_imu,roll,1.66177,3.36638,-0.00403007,0.0381622,80.5206,0.57525
1,mahony_kp0.40_ki0.02_band0.35,0.4,0.02,0.3,3,0.35,madgwick_imu,pitch,1.57379,3.05698,0.174559,0.00366271,80.5206,0.57525
1,mahony_kp0.40_ki0.05_band0.35,0.4,0.05,0.3,3,0.35,quat_ekf,roll,2.86636,6.05048,0.600197,0.387367,80.5206,0.57525
1,mahony_kp0.40_ki0.05_band0.35,0.4,0.05,0.3,3,0.35,quat_ekf,pitch,3.08758,6.83019,-1.37241,-0.035722,80.5206,0.57525
1,mahony_kp0.40_ki0.05_band0.35,0.4,0.05,0.3,3,0.35,madgwick_imu,roll,1.66083,3.36111,-0.0240741,-0.143683,80.5206,0.57525
1,mahony_kp0.40_ki0.05_band0.35,0.4,0.05,0.3,3,0.35,madgwick_imu,pitch,1.66626,3.53886,0.463062,0.050381,80.5206,0.57525
1,mahony_kp0.45_ki0.00_band0.35,0.45,0,0.3,3,0.35,quat_ekf,roll,2.84802,6.13013,0.635767,0.69714,80.5206,0.57525
1,mahony_kp0.45_ki0.00_band0.35,0.45,0,0.3,3,0.35,quat_ekf,pitch,3.31053,7.03204,-1.88005,-0.216841,80.5206,0.57525
1,mahony_kp0.45_ki0.00_band0.35,0.45,0,0.3,3,0.35,madgwick_imu,roll,1.6215,3.24504,0.0114958,0.16609,80.5206,0.57525
1,mahony_kp0.45_ki0.00_band0.35,0.45,0,0.3,3,0.35,madgwick_imu,pitch,1.44121,2.58947,-0.0445727,-0.130738,80.5206,0.57525
1,mahony_kp0.45_ki0.01_band0.35,0.45,0.01,0.3,3,0.35,quat_ekf,roll,2.84889,6.13643,0.629656,0.628724,80.5206,0.57525
1,mahony_kp0.45_ki0.01_band0.35,0.45,0.01,0.3,3,0.35,quat_ekf,pitch,3.25061,6.95833,-1.7735,-0.128816,80.5206,0.57525
1,mahony_kp0.45_ki0.01_band0.35,0.45,0.01,0.3,3,0.35,madgwick_imu,roll,1.62104,3.24276,0.00538556,0.0976737,80.5206,0.57525
1,mahony_kp0.45_ki0.01_band0.35,0.45,0.01,0.3,3,0.35,madgwick_imu,pitch,1.45173,2.69147,0.0619716,-0.0427126,80.5206,0.57525
1,mahony_kp0.45_ki0.02_band0.35,0.45,0.02,0.3,3,0.35,quat_ekf,roll,2.84967,6.13828,0.623731,0.568107,80.5206,0.57525
1,mahony_kp0.45_ki0.02_band0.35,0.45,0.02,0.3,3,0.35,quat_ekf,pitch,3.19796,6.90575,-1.67598,-0.0660204,80.5206,0.57525
1,mahony_kp0.45_ki0.02_band0.35,0.45,0.02,0.3,3,0.35,madgwick_imu,roll,1.6207,3.23993,-0.000539943,0.0370574,80.5206,0.57525
1,mahony_kp0.45_ki0.02_band0.35,0.45,0.02,0.3,3,0.35,madgwick_imu,pitch,1.4691,2.78607,0.159493,0.0200826,80.5206,0.57525
1,mahony_kp0.45_ki0.05_band0.35,0.45,0.05,0.3,3,0.35,quat_ekf,roll,2.8514,6.14299,0.60702,0.42745,80.5206,0.57525
1,mahony_kp0.45_ki0.05_band0.35,0.45,0.05,0.3,3,0.35,quat_ekf,pitch,3.07627,6.74109,-1.43206,0.0159227,80.5206,0.57525
1,mahony_kp0.45_ki0.05_band0.35,0.45,0.05,0.3,3,0.35,madgwick_imu,roll,1.6202,3.23318,-0.017251,-0.1036,80.5206,0.57525
1,mahony_kp0.45_ki0.05_band0.35,0.45,0.05,0.3,3,0.35,madgwick_imu,pitch,1.54345,3.17395,0.40342,0.102026,80.5206,0.57525
1,mahony_kp0.50_ki0.00_band0.35,0.5,0,0.3,3,0.35,quat_ekf,roll,2.83736,6.15748,0.635361,0.670033,80.5206,0.57525
1,mahony_kp0.50_ki0.00_band0.35,0.5,0,0.3,3,0.35,quat_ekf,pitch,3.27615,6.94464,-1.86299,-0.200047,80.5206,0.57525
1,mahony_kp0.50_ki0.00_band0.35,0.5,0,0.3,3,0.35,madgwick_imu,roll,1.58499,3.17194,0.0110902,0.138983,80.5206,0.57525
1,mahony_kp0.50_ki0.00_band0.35,0.5,0,0.3,3,0.35,madgwick_imu,pitch,1.35572,2.33112,-0.0275184,-0.113944,80.5206,0.57525
1,mahony_kp0.50_ki0.01_band0.35,0.5,0.01,0.3,3,0.35,quat_ekf,roll,2.83816,6.15976,0.630238,0.617123,80.5206,0.57525
1,mahony_kp0.50_ki0.01_band0.35,0.5,0.01,0.3,3,0.35,quat_ekf,pitch,3.22473,6.85149,-1.77257,-0.116332,80.5206,0.57525
1,mahony_kp0.50_ki0.01_band0.35,0.5,0.01,0.3,3,0.35,madgwick_imu,roll,1.58475,3.16413,0.00596717,0.0860726,80.5206,0.57525
1,mahony_kp0.50_ki0.01_band0.35,0.5,0.01,0.3,3,0.35,madgwick_imu,pitch,1.36487,2.45263,0.0629072,-0.0302287,80.5206,0.57525
1,mahony_kp0.50_ki0.02_band0.35,0.5,0.02,0.3,3,0.35,quat_ekf,roll,2.83886,6.16215,0.625264,0.570146,80.5206,0.57525
1,mahony_kp0.50_ki0.02_band0.35,0.5,0.02,0.3,3,0.35,quat_ekf,pitch,3.17909,6.81533,-1.68953,-0.0531765,80.5206,0.57525
1,mahony_kp0.50_ki0.02_band0.35,0.5,0.02,0.3,3,0.35,madgwick_imu,roll,1.5846,3.15768,0.000993164,0.039096,80.5206,0.57525
1,mahony_kp0.50_ki0.02_band0.35,0.5,0.02,0.3,3,0.35,madgwick_imu,pitch,1.37924,2.55695,0.145947,0.0329264,80.5206,0.57525
1,mahony_kp0.50_ki0.05_band0.35,0.5,0.05,0.3,3,0.35,quat_ekf,roll,2.8404,6.16819,0.611208,0.460616,80.5206,0.57525
1,mahony_kp0.50_ki0.05_band0.35,0.5,0.05,0.3,3,0.35,quat_ekf,pitch,3.07131,6.69866,-1.48035,0.0467268,80.5206,0.57525
1,mahony_kp0.50_ki0.05_band0.35,0.5,0.05,0.3,3,0.35,madgwick_imu,roll,1.58441,3.14251,-0.0130632,-0.0704343,80.5206,0.57525
1,mahony_kp0.50_ki0.05_band0.35,0.5,0.05,0.3,3,0.35,madgwick_imu,pitch,1.43966,2.91221,0.355128,0.13283,80.5206,0.57525
1,mahony_kp0.55_ki0.00_band0.35,0.55,0,0.3,3,0.35,quat_ekf,roll,2.83026,6.19671,0.633897,0.651138,80.5206,0.57525
1,mahony_kp0.55_ki0.00_band0.35,0.55,0,0.3,3,0.35,quat_ekf,pitch,3.25157,6.84779,-1.85086,-0.183603,80.5206,0.57525
1,mahony_kp0.55_ki0.00_band0.35,0.55,0,0.3,3,0.35,madgwick_imu,roll,1.55361,3.11852,0.00962625,0.120088,80.5206,0.57525
1,mahony_kp0.55_ki0.00_band0.35,0.55,0,0.3,3,0.35,madgwick_imu,pitch,1.28271,2.14479,-0.0153863,-0.0975002,80.5206,0.57525
1,mahony_kp0.55_ki0.01_band0.35,0.55,0.01,0.3,3,0.35,quat_ekf,roll,2.83099,6.19642,0.629567,0.609994,80.5206,0.57525
1,mahony_kp0.55_ki0.01_band0.35,0.55,0.01,0.3,3,0.35,quat_ekf,pitch,3.20694,6.76849,-1.77316,-0.105404,80.5206,0.57525
1,mahony_kp0.55_ki0.01_band0.35,0.55,0.01,0.3,3,0.35,madgwick_imu,roll,1.55353,3.11686,0.00529569,0.0789438,80.5206,0.57525
1,mahony_kp0.55_ki0.01_band0.35,0.55,0.01,0.3,3,0.35,madgwick_imu,pitch,1.29053,2.20775,0.062314,-0.0193007,80.5206,0.57525
1,mahony_kp0.55_ki0.02_band0.35,0.55,0.02,0.3,3,0.35,quat_ekf,roll,2.83162,6.19807,0.625357,0.573376,80.5206,0.57525
1,mahony_kp0.55_ki0.02_band0.35,0.55,0.02,0.3,3,0.35,quat_ekf,pitch,3.16698,6.73417,-1.70159,-0.0442191,80.5206,0.57525
1,mahony_kp0.55_ki0.02_band0.35,0.55,0.02,0.3,3,0.35,madgwick_imu,roll,1.55349,3.11585,0.00108608,0.0423264,80.5206,0.57525
1,mahony_kp0.55_ki0.02_band0.35,0.55,0.02,0.3,3,0.35,madgwick_imu,pitch,1.30242,2.28985,0.133889,0.0418838,80.5206,0.57525
1,mahony_kp0.55_ki0.05_band0.35,0.55,0.05,0.3,3,0.35,quat_ekf,roll,2.83301,6.20307,0.613436,0.48752,80.5206,0.57525
1,mahony_kp0.55_ki0.05_band0.35,0.55,0.05,0.3,3,0.35,quat_ekf,pitch,3.07098,6.65181,-1.52008,0.0631904,80.5206,0.57525
1,mahony_kp0.55_ki0.05_band0.35,0.55,0.05,0.3,3,0.35,madgwick_imu,roll,1.55353,3.11181,-0.0108352,-0.0435302,80.5206,0.57525
1,mahony_kp0.55_ki0.05_band0.35,0.55,0.05,0.3,3,0.35,madgwick_imu,pitch,1.35189,2.60721,0.315395,0.149293,80.5206,0.57525
