tick,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw,gx_f,gy_f,gz_f,ax_f,ay_f,az_f,roll_log,pitch_log,yaw_log,acc_roll,acc_pitch,gyro_mag_f,acc_mag_f,roll_cur,pitch_cur,yaw_cur,int_x_dps,int_y_dps,zbias_dps,acc_weight_final,is_static,roll_oldsim,pitch_oldsim,yaw_oldsim
248550,-0.125668,-0.05109,0.012381,0.081543,-0.038574,-1.007324,-0.112897,-0.051944,0.015853,0.08677,-0.038368,-0.993242,2.198134,5.008358,-8.217103,2.2121819222862618,4.989003611949581,0.12528060246502648,0.9977629011383415,2.1985571773585213,5.007127937185359,0.9480401069304294,0.08674017772640522,0.062187161282454766,0.024191549617686114,0.9936082889666901,1,2.1113419082705644,4.944532764130234,-0.809579272063501
248600,-0.064692,-0.173041,-0.048595,0.085449,-0.040039,-1.004883,-0.13407,-0.034071,0.026904,0.086972,-0.038416,-0.994192,2.197808,5.008307,-8.216988,2.212832314279294,4.995802888714502,0.14092346560101338,0.9987280163808363,2.1982354677692078,5.007086443012945,0.948153107560939,0.0867642241924708,0.06218264470748215,0.023683293543842472,0.9963657610881037,1,2.1110087972423264,4.94449678855995,-0.809209133493426
248650,-0.125668,-0.112065,0.012381,0.082031,-0.039063,-1.003906,-0.13816,-0.044456,0.019356,0.086975,-0.038287,-0.993472,2.197013,5.008234,-8.217019,2.2070057749230023,4.999596254362089,0.14642122889799825,0.9980065930533726,2.197452634176788,5.007008765781581,0.94812193902809,0.08675362463069151,0.06217304687044045,0.023434869352318775,0.9943045515810646,1,2.1102175486963,4.944426339074482,-0.8089812487544991
248700,-0.064692,-0.173041,0.012381,0.082031,-0.036621,-1.006348,-0.11505,-0.051877,0.039871,0.087394,-0.038421,-0.993637,2.197296,5.00914,-8.21692,2.2143549541374368,5.022704067397069,0.13235339916299846,0.9982125887034284,2.19774310723516,5.007913480901741,0.9482137466841647,0.08676903424617942,0.06217870727591334,0.022617780138568182,0.9948931105812241,1,2.1104941645091873,4.945334342748779,-0.8086325506858808
248750,-0.125668,-0.05109,-0.048595,0.081543,-0.036621,-1.005371,-0.064875,-0.040538,0.04651,0.087106,-0.038342,-0.993234,2.198195,5.008471,-8.216809,2.2107021176770267,5.00826959806397,0.08952806916827817,0.9977832144088213,2.1986417944419476,5.00723325873948,0.9483197460536786,0.08679540947202276,0.062170386899172134,0.022769935465223424,0.9936663268823467,1,2.111384699207159,4.944661340121086,-0.8082683591890178
248800,-0.064692,-0.173041,0.012381,0.082031,-0.04248,-1.004395,-0.103332,-0.062133,0.03578,0.087159,-0.038706,-0.993027,2.197704,5.009434,-8.216784,2.232133039255718,5.012268335942866,0.1257705065307443,0.9975958442405422,2.1981493917466532,5.008207928325069,0.9483411792502827,0.08679534739385843,0.0621786092561466,0.022310104908801875,0.9931309835444061,1,2.110876557586945,4.945637561668538,-0.8079891404799441
248850,-0.064692,-0.173041,0.073356,0.08252,-0.039063,-1.004883,-0.103807,-0.059233,0.025047,0.086617,-0.038364,-0.993809,2.199219,5.008055,-8.216648,2.210690786562461,4.977428734280155,0.12211385567166405,0.9983138933551913,2.1996707249463876,5.006835586529512,0.9484752939751814,0.0868311808345352,0.06216347832516167,0.022455738172187583,0.9951825524434036,1,2.112388631248235,4.9442717056100465,-0.8075968085903648
248900,-0.125668,-0.112065,0.073356,0.084473,-0.038086,-1.004395,-0.090993,-0.073142,0.010936,0.087143,-0.038624,-0.993442,2.198619,5.007714,-8.216583,2.226479416161598,5.009289264259731,0.11725644676946338,0.9980043703256013,2.199058136507935,5.0064867386353615,0.9485329276045833,0.0868431516359654,0.06215395541363507,0.021969585519199728,0.9942982009302894,1,2.1117663964483033,4.943929808972419,-0.807280785870548
248950,-0.186644,-0.05109,0.073356,0.083984,-0.036621,-1.006348,-0.102856,-0.071703,0.008716,0.087518,-0.038518,-0.993839,2.199025,5.007617,-8.216459,2.2194891070262046,5.028759629335396,0.1256847071087012,0.998428262104494,2.199442583685998,5.006386742707542,0.9486535535211591,0.08687060481226659,0.06215208937933459,0.02258903991576093,0.9955093202985542,1,2.112137216789857,4.943834352966427,-0.8069026772008281
249000,-0.125668,-0.173041,-0.048595,0.082031,-0.036621,-1.004395,-0.090946,-0.111382,0.020735,0.086901,-0.03864,-0.993633,2.199837,5.007036,-8.216407,2.2269730784091193,4.994491679757805,0.1452827073846024,0.9981740189415872,2.2002676599146103,5.005819724388743,0.9487003521109512,0.08688857417664346,0.06215751086187169,0.023376685676818946,0.9947829112616777,1,2.1129501595377365,4.943272556551902,-0.8065964355543066
249050,-0.064692,-0.05109,-0.048595,0.081543,-0.037598,-1.006836,-0.122169,-0.036357,0.005795,0.087241,-0.03854,-0.993961,2.200582,5.005865,-8.216352,2.2204832195344815,5.012309003621821,0.12759576025479843,0.9985263107209544,2.2010080542109964,5.004637211144468,0.948754964668416,0.08690689565399844,0.062147370375333855,0.023458998479120585,0.995789459202727,1,2.1136813111231567,4.942097772081177,-0.8062824439286169
