flight,axis,rise_time_s_median,rise_time_s_mean,overshoot_pct_median,overshoot_pct_mean,settle_time_s_median,settle_time_s_mean,num_oscillations_median,num_oscillations_mean,itae_median,itae_mean,ss_error_deg_median,ss_error_deg_mean,gyro_peak_dps_median,gyro_peak_dps_mean,n_steps
6,pitch,0.3299999999999983,0.36738461538461453,6.699343490959607,21.82421429744593,0.7999999999999972,0.7721111111111105,0.0,0.1111111111111111,0.10590343715556225,0.1461696437743878,1.1706670650934696,2.1851281292603044,33.8579615,41.5205125,36
7,roll,0.2989999999999995,0.3371206896551721,4.918312119870421,57.32014809731172,0.7999999999999972,0.7781184210526316,0.0,0.039473684210526314,0.0928871017188553,0.14056028769744333,1.986271169312511,2.4068896026445334,34.935804000000005,41.86598617105263,76
7,pitch,0.3074999999999939,0.3730000000000008,3.2181249907694505,32.366874091934086,0.7999999999999972,0.7750545454545432,0.0,0.10909090909090909,0.08291777844572983,0.10743062884513965,1.2625847295597488,1.9943355664071727,41.642033,44.21468556363636,55
8,roll,0.2890000000000157,0.3267157894736834,9.445560501524005,36.89949790989305,0.7999999999999972,0.7713658536585372,0.0,0.08536585365853659,0.09380993115864915,0.14464325951211526,1.758200569620253,2.3278444255964255,38.892223,43.39661771544715,123
8,pitch,0.26849999999999596,0.30842499999999895,14.107831858407092,43.910705552491386,0.7999999999999972,0.7622631578947355,0.0,0.1631578947368421,0.08033867342997737,0.1417169616514273,1.1449348322981368,1.7804989098951263,40.280415,43.84094425263159,95
9,roll,0.2810000000000059,0.32602898550724585,0.314342176504872,38.38564908504496,0.7999999999999972,0.7709724770642201,0.0,0.06422018348623854,0.11626617932868351,0.18006454388649634,2.156590379084967,3.0215994483987596,32.868183,32.88671947706422,109
9,pitch,0.3689999999999998,0.36947169811320824,0.0,41.23983650806239,0.7999999999999972,0.7756417910447775,0.0,0.06716417910447761,0.08983963770790733,0.15581446332265694,1.354439125827814,1.8484965292108535,35.434711,36.237898746268655,67
10,roll,0.2190000000000012,0.29408974358974377,20.436773285034313,55.872188925749654,0.7999999999999972,0.7413409090909092,0.0,0.23863636363636365,0.09200192281611819,0.15375036775929501,1.1728520428571427,1.9014743172070503,34.085483499999995,45.864366488636364,88
10,pitch,0.2850000000000037,0.3284153846153847,11.449289531068437,57.623986285407995,0.7999999999999972,0.7596052631578951,0.0,0.15789473684210525,0.08524322378670968,0.15449904493546676,1.149376865641149,1.7829214984180848,36.8359985,49.00790642105263,76
11,roll,0.3894999999999982,0.37260869565217275,0.0,26.82299643198452,0.7999999999999972,0.7745147058823519,0.0,0.11029411764705882,0.1062030504453246,0.13893249396411353,1.7761759066152598,2.3633460700986584,29.863933,35.48556855882353,68
11,pitch,0.30100000000000193,0.31255102040816374,11.174879309370928,49.610651938348575,0.7999999999999972,0.7896825396825388,0.0,0.07142857142857142,0.09746280999888646,0.1608116484474313,1.8200081315789476,2.3785821752093397,42.146725,44.57302298412699,63
12,roll,0.35300000000000153,0.3727272727272723,5.20361159600124,25.252984815866593,0.7999999999999972,0.7542333333333332,0.0,0.06666666666666667,0.07910149821571683,0.19077135044326218,2.312661128125,3.0567841140099024,38.23465,60.05455686666666,30
12,pitch,0.24299999999999944,0.2658333333333321,8.436479538537197,44.69112293785385,0.7999999999999972,0.7322142857142868,0.0,0.21428571428571427,0.09191296603111937,0.1286031463476532,1.265227352138158,2.217895586528487,31.967005,48.72295989285715,28
