start_s,dur_s,yawcmd_p95,gz_p95,above_pre,above_during,above_post,thr_pre,thr_during,thr_post,vz_pre,vz_during,vz_post,file
175.425,0.35,671.25,11.5474055,-22.063340949999965,-27.26431419444442,-8.848485733333302,4009.81,4007.3333333333335,3969.68,-0.02658798,-0.009559722222222223,0.022977366666666665,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
175.905,2.41,938.8,24.148475549999997,-26.07550333999997,13.57725325619838,31.06964731333336,4014.16,3957.2024793388427,3981.4666666666667,-0.02613617,0.02350001652892562,-0.017667,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
181.795,2.39,1060.05,31.68105755,-41.57460429999996,5.216634066666691,10.546858866666698,3982.98,3947.704166666667,4023.4933333333333,0.01673238,0.03848322916666667,-0.0790107,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
186.295,2.01,224.89999999999998,35.49658504999999,-74.50047960999997,-91.35941984653462,-135.62738263999998,4052.54,4032.2524752475247,4101.886666666666,-0.05264231,0.001233549504950495,-0.05120552666666667,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
194.915,0.6,489.0,26.281483,-25.580952619999962,-74.44449783606555,-49.13550649999996,4076.54,4053.72131147541,4019.8333333333335,-0.05927767,0.0005781475409836066,0.032029246666666664,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
197.755,1.73,1681.4,76.51700135,-22.994423739999966,106.99899160919544,240.75178027333337,3994.62,3851.0459770114944,3993.306666666667,0.05085039,0.1572405747126437,-0.18172171333333334,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
199.705,1.25,324.25,30.355973,223.59117807000004,233.52429014285718,9.917909120000045,3773.86,4013.4603174603176,3952.2733333333335,0.17114948,-0.20646350793650795,0.07937441333333334,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
201.505,1.2,2296.0,114.10685,84.92894420000005,-0.08578348760326102,130.5506048466667,4066.37,3864.0743801652893,3990.233333333333,-0.15785194,0.20995439669421487,-0.09787866,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
202.915,0.54,337.9,33.1646162,10.33857798000004,190.79353714545456,17.570999913333367,3795.06,3961.3636363636365,4053.8933333333334,0.29162264,-0.10762505454545454,-0.09782984666666666,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
204.165,0.89,718.0,8.64401435,122.85504965000003,-50.82285006666663,-54.52742016666664,4052.76,4044.1222222222223,4032.846666666667,-0.17961629,-0.0308117,-0.023621126666666666,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
208.415,1.17,107.45000000000002,25.1835586,-165.58913748999996,-113.41771831355929,-77.59270243999997,4079.08,4061.7966101694915,4059.8933333333334,0.01351529,0.06965703389830509,-0.02378786,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
212.185,1.41,489.9,37.32033445,-90.28057722999996,-86.80967597183096,-66.32143211999997,4039.36,4064.612676056338,4019.52,0.02393936,-0.008441415492957747,0.047961293333333335,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
213.655,3.21,963.95,40.318466,-91.68753835999996,-9.346967698757727,46.40293022000004,4074.58,3991.313664596273,3989.346666666667,-0.01719258,0.04462054968944099,-0.0007056933333333331,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
216.945,3.21,1032.85,27.83766075,58.999638750000045,66.624069447205,39.55570734666669,3975.63,3976.080745341615,4046.8333333333335,0.01264411,0.0005501180124223604,-0.08853828666666666,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
221.645,0.18,275.1,23.2442364,22.90237261000003,-35.692703842105246,-74.55736069333331,4065.38,4058.0,4060.306666666667,-0.10508863,-0.04843731578947368,-0.0167425,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
224.216,1.051,281.0,33.357132,-76.28913015999997,-48.48321867924525,-44.33263047999997,4037.17,4046.1509433962265,4062.16,0.02558405,0.025932622641509435,-0.023585093333333335,第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv
