I0,I1,I2,I3
-2.000000,-4.000000,-0.886884,2.058272
-2.000000,-2.000000,-1.339930,-1.884015
-2.000000,-2.000000,-0.869195,2.117260
-2.000000,-2.000000,-0.870267,2.117033
-4.000000,-4.000000,-1.711104,-1.907496
-4.000000,-4.000000,-0.916177,2.113969
-4.000000,-4.000000,-0.917545,2.041243
0.000000,-2.000000,-1.492617,-1.714588
0.000000,-2.000000,-0.892521,2.063820
0.000000,-2.000000,-0.893715,2.063248
-3.000000,-6.000000,-1.812734,-2.301731
-3.000000,-6.000000,-0.933580,1.991750
-3.000000,-6.000000,-0.935030,1.990709
-4.000000,-5.000000,-2.272036,-2.732482
-4.000000,-5.000000,-0.991963,1.937632
-4.000000,-5.000000,-0.993781,1.936246
-1.000000,-2.000000,-2.085553,-2.288040
-1.000000,-2.000000,-0.973072,1.988549
-1.000000,-2.000000,-0.974740,1.987519
-1.000000,-3.000000,-1.865438,-2.385864
-1.000000,-3.000000,-0.949819,1.974671
-1.000000,-3.000000,-1.023791,1.973562
-3.000000,-5.000000,-2.250117,-2.817135
-3.000000,-5.000000,-1.072232,1.920356
-3.000000,-5.000000,-2.369244,1.918903
-5.000000,-4.000000,-2.896606,-2.866810
-5.000000,-4.000000,-3.193467,1.790648
-5.000000,-4.000000,-3.797547,1.500893
0.000000,-2.000000,-2.531161,-2.893521
0.000000,-2.000000,-3.773798,1.493453
0.000000,-2.000000,-4.593554,0.795922
-1.000000,-3.000000,-2.351517,-2.598285
-1.000000,-3.000000,-4.917870,0.467671
-1.000000,-3.000000,-4.945510,0.456633
-1.000000,-6.000000,-2.136210,-3.229471
-1.000000,-6.000000,-4.947143,0.369347
-1.000000,-6.000000,-5.434810,-0.042849
-2.000000,-2.000000,-1.983439,-3.030369
-2.000000,-2.000000,-5.495344,-0.033061
-2.000000,-2.000000,-5.526211,-0.398562
-4.000000,-3.000000,-2.287160,-2.862843
-4.000000,-3.000000,-5.593767,-0.394829
-4.000000,-3.000000,-5.624876,-0.411200
-4.000000,-2.000000,-2.391062,-2.387664
-4.000000,-2.000000,-5.668539,-0.696689
-4.000000,-2.000000,-5.699731,-0.714919
-9.000000,-3.000000,-3.191331,-2.580256
-9.000000,-3.000000,-5.827596,-0.756414
-9.000000,-3.000000,-5.859429,-0.757630
-8.000000,-4.000000,-3.853113,-2.153809
-8.000000,-4.000000,-6.043686,-0.706457
-8.000000,-4.000000,-6.076529,-0.778457
-8.000000,-2.000000,-4.188301,-1.860357
-8.000000,-2.000000,-6.149861,-0.743243
-8.000000,-2.000000,-6.182972,-0.671243
-7.000000,-4.000000,-4.233442,-2.048307
-7.000000,-4.000000,-6.221536,-0.693797
-7.000000,-4.000000,-6.254682,-0.693797
-9.000000,-3.000000,-4.669720,-1.931996
-9.000000,-3.000000,-6.340531,-0.679839
-9.000000,-3.000000,-6.374027,-0.391840
-10.000000,-3.000000,-5.163115,-1.726233
-10.000000,-3.000000,-6.467125,-0.367148
-10.000000,-3.000000,-6.501016,-0.367148
-8.000000,-3.000000,-5.188248,-1.795066
-8.000000,-3.000000,-6.537942,-0.375408
-8.000000,-3.000000,-6.571853,-0.327408
-6.000000,-2.000000,-4.980227,-1.271364
-6.000000,-2.000000,-6.580635,-0.264564
-6.000000,-2.000000,-6.614379,0.047436
-8.000000,-2.000000,-5.100810,-1.400351
-8.000000,-2.000000,-6.662690,0.031958
-8.000000,-2.000000,-7.011575,0.031958
-9.000000,-3.000000,-5.452664,-1.552817
-9.000000,-3.000000,-7.162640,0.013662
-9.000000,-3.000000,-7.199482,0.349662
-7.000000,-3.000000,-5.154169,-1.568279
-7.000000,-3.000000,-7.200266,0.347807
-7.000000,-3.000000,-7.236869,0.347807
-8.000000,-2.000000,-5.201847,-1.411086
-8.000000,-2.000000,-7.615604,0.366670
-8.000000,-2.000000,-7.654646,0.438670
-10.000000,-1.000000,-5.570321,-1.226393
-10.000000,-1.000000,-7.738199,0.460833
-10.000000,-1.000000,-7.777535,0.460833
-8.000000,0.000000,-5.641446,-1.012131
-8.000000,0.000000,-7.825464,0.774544
-8.000000,0.000000,-7.864857,0.822544
-7.000000,0.000000,-5.425705,-0.630095
-7.000000,0.000000,-7.878189,0.868389
-7.000000,0.000000,-7.917409,0.868389
-8.000000,0.000000,-5.359426,-0.477613
-8.000000,0.000000,-7.948623,0.886686
-8.000000,0.000000,-8.368942,1.126687
-10.000000,-1.000000,-5.521751,-0.446552
-10.000000,-1.000000,-8.430439,1.130414
-10.000000,-1.000000,-8.851598,1.250414
-6.000000,-1.000000,-5.030862,-0.649829
-6.000000,-1.000000,-8.885355,1.706020
-6.000000,-1.000000,-8.930019,1.706020
-10.000000,0.000000,-5.503364,-0.406852
-10.000000,0.000000,-9.031763,1.735178
-10.000000,0.000000,-9.076805,1.951178
-4.000000,1.000000,-4.708772,-0.094875
-4.000000,1.000000,-9.288757,1.988615
-4.000000,1.000000,-9.335085,1.988615
-8.000000,0.000000,-4.812654,-0.279363
-8.000000,0.000000,-9.393961,1.966476
-8.000000,0.000000,-9.512851,1.966476
-4.000000,0.000000,-4.189744,-0.367871
-4.000000,0.000000,-9.484493,1.955855
-4.000000,0.000000,-9.530885,1.955855
-4.000000,2.000000,-3.692427,0.236719
-4.000000,2.000000,-9.517201,2.028596
-4.000000,2.000000,-9.563195,2.028785
-10.000000,2.000000,-4.419729,0.601406
-10.000000,2.000000,-9.697047,2.073029
-10.000000,2.000000,-9.743623,2.073510
-3.000000,2.000000,-3.797488,0.698990
-3.000000,2.000000,-9.715032,2.085779
-3.000000,2.000000,-9.688630,2.086338
-6.000000,3.000000,-3.845757,0.962199
-6.000000,3.000000,-9.740059,2.118693
-6.000000,3.000000,-9.785696,2.119463
-8.000000,4.000000,-4.267123,1.513336
-8.000000,4.000000,-9.882233,2.186810
-8.000000,4.000000,-9.612589,2.188020
-4.000000,4.000000,-3.911973,1.702060
-4.000000,4.000000,-9.613740,2.212029
-4.000000,4.000000,-9.609190,2.213391
-7.000000,5.000000,-4.238330,2.203271
-7.000000,5.000000,-9.692063,2.275299
-7.000000,5.000000,-9.296120,2.349541
-2.000000,2.000000,-3.501450,1.881451
-2.000000,2.000000,-9.248096,2.312908
-2.000000,2.000000,-9.288496,2.314893
-3.000000,3.000000,-3.095967,1.985034
-3.000000,3.000000,-9.279915,2.329391
-3.000000,3.000000,-8.882902,2.331459
-3.000000,4.000000,-2.798153,2.301471
-3.000000,4.000000,-8.424676,2.371753
-3.000000,4.000000,-8.458914,2.374074
-5.000000,5.000000,-3.003938,2.505123
-5.000000,5.000000,-8.518011,2.400996
-5.000000,5.000000,-8.119329,2.403480
1.000000,2.000000,-2.050306,2.255910
1.000000,2.000000,-7.605188,2.375859
1.000000,2.000000,-7.633389,2.378144
-1.000000,3.000000,-1.775353,2.397135
-1.000000,3.000000,-7.628375,2.397489
-1.000000,3.000000,-7.178937,2.399887
2.000000,1.000000,-0.945964,1.961386
2.000000,1.000000,-6.266181,2.349646
2.000000,1.000000,-4.971125,2.351695
1.000000,3.000000,-0.574903,2.105259
