I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
198010.000000,1000.000000,1051.376465,-14.830679,-13.247265,11.801651,84.330284,0.000000,4.128904,-0.578047,0.491679,0.000000,-0.086368,67.800003,51.361992,2.301322,2.056820,0.000000,4.358141,0.133632,2.558141,0.154153,2.174884,-2.675128
198030.000000,1000.000000,1051.309448,-2.507598,-31.219540,-74.469498,69.743729,0.000000,5.732444,-0.802542,0.490532,0.000000,-0.312010,67.200005,50.392326,2.353075,2.060181,0.000000,4.413257,-0.092010,2.613257,0.203991,2.131576,-2.756499
198050.000000,1000.000000,1051.663818,0.815036,-41.290825,-131.799255,19.646572,0.000000,6.758841,-0.946238,0.489181,0.000000,-0.457057,67.200005,51.398895,2.212155,2.063342,0.000000,4.275497,-0.237057,2.475497,0.326553,2.062562,-2.831157
198070.000000,1000.000000,1051.318848,-15.492688,-19.081448,-44.591347,-0.479509,0.000000,7.438182,-1.041345,0.487693,0.000000,-0.553653,67.200005,52.616684,2.041665,2.066258,0.000000,4.107923,-0.333653,2.307923,0.363816,1.981867,-2.904621
198090.000000,1000.000000,1050.934082,-9.256170,-27.020851,51.371136,-56.605282,0.000000,7.460707,-1.044499,0.486201,0.000000,-0.558298,70.599998,52.382515,2.550448,2.068401,0.000000,4.618849,-0.338298,2.818849,0.322999,1.925613,-2.974502
198110.000000,1000.000000,1049.015137,-11.766096,-35.809120,42.567135,-43.581245,0.000000,6.617289,-0.926420,0.484877,0.000000,-0.441543,70.599998,50.762970,2.777184,2.072369,0.000000,4.849553,-0.221543,3.049553,0.318610,1.907921,-3.052679
198130.000000,1000.000000,1049.176880,-12.943931,-9.234199,-50.337605,-14.261127,0.000000,6.070730,-0.849902,0.483663,0.000000,-0.366239,74.000000,48.562073,3.561310,2.075361,0.000000,5.636671,-0.146239,3.836671,0.359957,1.877371,-3.123499
198150.000000,1000.000000,1047.512817,-2.679942,-32.722511,-104.453262,1.728075,0.000000,5.710599,-0.799484,0.482521,0.000000,-0.316963,74.000000,48.770885,3.532076,2.080407,0.000000,5.612484,-0.096963,3.812484,0.429798,1.770337,-3.185956
198170.000000,1000.000000,1046.934448,-12.519192,-26.381243,-25.489422,22.101332,0.000000,5.955786,-0.833810,0.481330,0.000000,-0.352480,78.400002,49.773212,4.007751,2.083010,0.000000,6.090760,-0.132480,4.290760,0.286891,1.724868,-3.231212
198190.000000,1000.000000,1043.147461,-16.675053,-51.539154,57.638039,50.133736,0.000000,6.815270,-0.954138,0.479967,0.000000,-0.474171,84.800003,50.155472,4.850235,2.085175,0.000000,6.935410,-0.254171,5.135409,0.169356,1.890277,-3.283816
