I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
90962.000000,1000.000000,980.166626,52.251995,-46.376945,-33.890560,-14.293586,0.000000,-8.495012,1.189302,-0.579220,0.000000,0.610081,58.949654,40.806618,2.540025,0.813321,0.000000,3.353346,0.830081,1.553346,0.508058,0.843597,7.390231
90982.000000,1000.000000,978.967468,16.779257,-38.453045,34.044670,-73.819389,0.000000,-9.324347,1.305409,-0.577356,0.000000,0.728053,58.949654,41.372498,2.460802,0.816836,0.000000,3.277638,0.948053,1.477638,0.515800,0.880732,7.402715
91002.000000,1000.000000,978.003906,47.947716,-40.670250,126.567970,-190.488480,0.000000,-12.240580,1.713681,-0.574907,0.000000,1.138774,58.949654,40.608070,2.567822,0.820505,0.000000,3.388326,1.358774,1.588326,0.610940,0.974268,7.389445
91022.000000,1000.000000,977.081970,39.888309,-43.769581,49.838360,-244.939728,0.000000,-17.028366,2.383971,-0.571502,0.000000,1.812469,58.949654,38.452835,2.869555,0.824604,0.000000,3.694159,2.032470,1.894159,0.725021,0.956314,7.364116
91042.000000,1000.000000,974.908386,17.399694,-40.861786,-56.322220,-116.872505,0.000000,-21.677811,3.034894,-0.567166,0.000000,2.467727,58.949654,37.649441,2.982030,0.828864,0.000000,3.810894,2.687727,2.010894,0.744488,0.817802,7.316239
91062.000000,1000.000000,973.294922,17.412594,-40.543346,-107.978859,46.576565,0.000000,-23.666840,3.313358,-0.562433,0.000000,2.750925,58.949654,38.860210,2.812522,0.832882,0.000000,3.645404,2.970925,1.845404,0.678100,0.643244,7.264984
91082.000000,1000.000000,972.455566,8.872687,-36.423855,8.192007,87.276367,0.000000,-22.285046,3.119906,-0.557976,0.000000,2.561931,58.949654,40.698120,2.555215,0.836532,0.000000,3.391747,2.781931,1.591747,0.594540,0.638728,7.213535
91102.000000,1000.000000,972.411926,43.824177,-42.699116,175.106018,94.233444,0.000000,-21.261522,2.976613,-0.553723,0.000000,2.422890,58.582741,40.454384,2.537970,0.840158,0.000000,3.378128,2.642890,1.578128,0.553245,0.858902,7.144525
91122.000000,1000.000000,972.390930,18.369541,-39.526711,171.194489,114.958458,0.000000,-19.439392,2.721515,-0.549836,0.000000,2.171679,58.582741,37.204323,2.992979,0.844434,0.000000,3.837412,2.391680,2.037412,0.490857,1.041157,7.054293
91142.000000,1000.000000,971.240417,5.642544,-41.359856,95.506119,103.964378,0.000000,-16.826235,2.355673,-0.546470,0.000000,1.809203,61.185085,34.151333,3.784725,0.848589,0.000000,4.633314,2.029202,2.833314,0.488406,1.102102,6.963715
91162.000000,1000.000000,970.256958,1.570631,-46.601402,57.456188,76.720543,0.000000,-14.302154,2.002301,-0.543610,0.000000,1.458692,63.479469,32.754246,4.301531,0.853946,0.000000,5.155477,1.678692,3.355477,0.496628,1.082856,6.870482
91182.000000,1000.000000,971.095642,14.226038,-45.138798,15.236768,48.805622,0.000000,-12.775283,1.788540,-0.541055,0.000000,1.247485,63.479469,32.174347,4.382717,0.860207,0.000000,5.242924,1.467485,3.442924,0.506522,0.995946,6.789500
91202.000000,1000.000000,971.604309,-0.055219,-43.745338,11.685874,1.440187,0.000000,-11.434045,1.600766,-0.538768,0.000000,1.061998,63.479469,32.352909,4.357718,0.866432,0.000000,5.224150,1.281998,3.424150,0.553725,0.915097,6.696069
91222.000000,1000.000000,972.657227,-6.450377,-42.805302,124.849045,14.179203,0.000000,-10.735852,1.503019,-0.536621,0.000000,0.966399,63.479469,32.440472,4.345459,0.872640,0.000000,5.218099,1.186399,3.418099,0.557166,1.042124,6.599627
91242.000000,1000.000000,973.875549,-1.504192,-41.224709,270.003143,108.730827,0.000000,-9.817602,1.374464,-0.534657,0.000000,0.839807,63.479469,30.300596,4.645042,0.879276,0.000000,5.524317,1.059807,3.724317,0.428995,1.362966,6.479814
