t_s,target_mm,logged_h_mm,tof_obs_mm,tof_spread_mm,acc_up_mps2,logged_vz_mps,logged_throttle,logged_polluted,logged_gate_reason,A_trimmed_lpf_h_mm,A_trimmed_lpf_vz_mps,A_trimmed_lpf_accepted,A_trimmed_lpf_polluted,B_huber_ab_h_mm,B_huber_ab_vz_mps,B_huber_ab_accepted,B_huber_ab_polluted,C_physical_gate_ab_h_mm,C_physical_gate_ab_vz_mps,C_physical_gate_ab_accepted,C_physical_gate_ab_polluted,D_pollution_fsm_h_mm,D_pollution_fsm_vz_mps,D_pollution_fsm_accepted,D_pollution_fsm_polluted,E_recommended_mcu_h_mm,E_recommended_mcu_vz_mps,E_recommended_mcu_accepted,E_recommended_mcu_polluted,F_ported_c_logic_h_mm,F_ported_c_logic_vz_mps,F_ported_c_logic_accepted,F_ported_c_logic_polluted
315.256,1000.0,991.687317,,556.7496,-1.048248,0.0,4363.0,1.0,0.0,289.6100814464003,3.4685596635485194e-10,0,0,515.3964261741802,0.09036112251627337,0,0,559.6791165921495,0.14504111000611042,0,0,688.27039976633,-0.010769281308683426,0,1,825.9698633285433,-0.010757742184012717,0,1,991.6895299128782,0.0,0,0
315.266,1000.0,991.58783,,559.8195920000001,-1.664985,0.0,4362.0,1.0,0.0,289.6100814464003,2.701314265971587e-10,0,0,516.2615084559654,0.08650822817852927,0,0,561.08172388121,0.14026072890604932,0,0,688.1558486420283,-0.01145511243016242,0,1,825.8554206720136,-0.011444265652971953,0,1,991.5900342626737,0.0,0,0
315.276,1000.0,991.482239,,554.12772,-2.447697,0.0,4360.0,1.0,0.0,289.6100814464003,2.103783550338672e-10,0,0,517.076899048524,0.08153905925585132,0,0,562.4213511573798,0.13396272761698882,0,0,688.0285890091848,-0.012725963284352673,0,1,825.7282629988756,-0.012715767313793635,0,1,991.4844226678085,0.0,0,0
315.286,1000.0,991.370483,,554.571102,-1.733868,0.0,4359.0,1.0,0.0,289.6100814464003,1.6384266290037578e-10,0,0,517.8540507621941,0.07771517136701356,0,0,563.712904800788,0.12915536434081892,0,0,687.8950940103118,-0.013349499887291512,0,1,825.594863842126,-0.013339915674966016,0,1,991.3726671853781,0.0,0,0
315.296,1000.0,991.252747,,550.757663,-1.671495,0.0,4357.0,1.0,0.0,289.6100814464003,1.2760066586681266e-10,0,0,518.5944727751591,0.07404220129650835,0,0,564.9581130077621,0.12452082069741073,0,0,687.7562367513713,-0.013885725894054022,0,1,825.4560966747813,-0.013876716734468055,0,1,991.2549392761007,0.0,0,0
315.306,1000.0,991.128418,,558.10725,-2.128538,0.0,4355.0,1.0,0.0,289.6100814464003,9.93753985770737e-11,0,0,519.2918603879298,0.06973876127706072,0,0,566.1482983726664,0.11901853649043663,0,0,687.6086826239672,-0.01475541274041078,0,1,825.3086272334773,-0.01474694413039997,0,1,991.1306349443238,0.0,0,0
315.316,1000.0,990.99884,,553.2203489999999,-1.204449,0.0,4353.0,1.0,0.0,289.6100814464003,7.7393560411825e-11,0,0,519.9607204515088,0.06688600635790481,0,0,567.3024929039218,0.11541945312553226,0,0,687.4603461522073,-0.014833647175986132,0,1,825.1603703666516,-0.01482568668257597,0,1,991.0010345719157,0.0,0,0
315.326,1000.0,990.865784,,560.524974,-0.730427,0.0,4350.0,1.0,0.0,289.6100814464003,6.027410484872932e-11,0,0,520.6085912091341,0.06478707576253624,0,0,568.4305369498645,0.11280440459427693,0,0,687.3150664527531,-0.014527969945426962,0,1,825.0151654958354,-0.014520487081621411,0,1,990.8679846089742,0.0,0,0
315.336,1000.0,990.730347,,565.6992149999999,-0.908159,0.0,4347.0,1.0,0.0,289.6100814464003,4.69414728561904e-11,0,0,521.2331215203951,0.062453031126098194,0,0,569.5291373753479,0.10986004254833416,0,0,687.171238263266,-0.014382818948701344,0,1,824.8714076452682,-0.014375785056724126,0,1,990.7325680583333,0.0,0,0
315.346,1000.0,990.595154,,569.2275269999999,0.093702,0.0,4344.0,1.0,0.0,289.6100814464003,3.655801906040108e-11,0,0,521.8496894069872,0.06165678865920672,0,0,570.6186258365764,0.10894884612285081,0,0,687.0367893811482,-0.013444888211779263,0,1,824.737024881735,-0.013438276353320677,0,1,990.5973820586215,0.0,0,0
315.356,1000.0,990.463257,,571.1450679999999,0.737451,0.0,4341.0,1.0,0.0,289.6100814464003,2.847138524424036e-11,0,0,522.4680705402803,0.06183811332931862,0,0,571.7119684331926,0.1093342596616223,0,0,686.9163070399575,-0.012048234119072505,0,1,824.6166046920138,-0.012042018972121435,0,1,990.4654640206672,0.0,0,0
315.366,1000.0,990.336304,,563.172122,0.471616,0.0,4337.0,1.0,0.0,289.6100814464003,2.2173514828214393e-11,0,0,523.0842501965741,0.06161796562937884,0,0,572.8038099238427,0.10918414906500608,0,0,686.8068265672382,-0.010948047271928154,0,1,824.5071826416759,-0.010942205033794148,0,1,990.3385237538861,0.0,0,0
315.376,1000.0,990.215637,,561.9080309999999,0.549749,0.0,4334.0,1.0,0.0,289.6100814464003,1.726873334821337e-11,0,0,523.6994333930235,0.06151831964493816,0,0,573.8957279795862,0.10919180557435602,0,0,686.7083129148821,-0.009851365235612464,0,1,824.4087239063582,-0.009845873531766499,0,1,990.2178851610544,0.0,0,0
315.386,1000.0,990.100525,,561.247715,-0.368752,0.0,4330.0,1.0,0.0,289.6100814464003,1.3448889531588572e-11,0,0,524.2998575615261,0.06004241685026409,0,0,574.9693518147724,0.10736238351861246,0,0,686.6127600656673,-0.009555284921475716,0,1,824.3132226791596,-0.00955012271986051,0,1,990.1028084191389,0.0,0,0
315.396,1000.0,989.989807,,561.698803,-0.689192,0.0,4326.0,1.0,0.0,289.6100814464003,1.047399516720118e-11,0,0,524.8809374875012,0.05810799259751013,0,0,576.0184555716066,0.10491037568342634,0,0,686.5174268514054,-0.009533321426187173,0,1,824.2179379895929,-0.009528468956668878,0,1,989.9921110569029,0.0,0,0
315.406,1000.0,989.882141,,560.728733,-0.919408,0.0,4323.0,1.0,0.0,289.6100814464003,8.15714743621628e-12,0,0,525.4395100945867,0.055857260708547476,0,0,577.0386801308725,0.10202245592659209,0,0,686.4204583659993,-0.009696848540615942,0,1,824.1210151174002,-0.009692287219268745,0,1,989.8844619069025,0.0,0,0
