flight,axis,left,right,rms_diff_deg,mean_diff_deg,p95_abs_diff_deg,max_abs_diff_deg,final_diff_deg
3,pitch,current_kp15_ki002,current_kp10_ki002,0.5337672307377113,0.13985426448791696,1.0225358309566264,2.0249856766961427,0.009405246794253141
3,roll,current_kp10_ki0,current_kp10_ki002,0.016120371578009,0.012017405287192836,0.03323430004065479,0.07797034049805163,-0.0009080950234578999
3,pitch,current_kp10_ki0,current_kp10_ki002,0.05856232208276082,-0.04648039160882966,0.12427261011312823,0.20929302176890907,-0.035124799605536605
3,roll,wide_kp10_band020,current_kp10_ki002,0.38232342258316204,0.09222218120479671,0.7642525020279685,2.0487695448076835,-0.0003457328574305585
3,pitch,wide_kp10_band020,current_kp10_ki002,0.3876420028320689,-0.1936264120909573,0.8549414138048951,1.5961549487358564,-0.0005254125033795631
3,roll,wide_kp10_band050,current_kp10_ki002,0.19168932127409055,-0.06768311168968176,0.4071209715029036,1.0681809471772692,0.00016438638483640133
3,pitch,wide_kp10_band050,current_kp10_ki002,0.1662093946326984,0.06411017436074279,0.35664683841205336,0.7088336738686962,0.00013747645246198203
4,roll,current_kp10_ki002,madgwick_imu,1.0938754003393982,0.06909888463057243,1.6368035623295996,13.039373678212668,0.37884857232631663
4,pitch,current_kp10_ki002,madgwick_imu,0.6349141215349059,0.30721163326198603,1.2571777241555877,4.510608532212048,0.24325757401859338
4,roll,current_kp10_ki002,ekf_rp,1.119570448399084,0.0857326815915819,2.4734818490635697,6.326791958839013,-0.18839706009817325
4,pitch,current_kp10_ki002,ekf_rp,0.9067085043293456,0.2821803062550673,1.7102296289216958,3.631132544832426,-0.9495685901313387
4,roll,madgwick_imu,ekf_rp,1.2774366984907015,0.016633796961009504,1.9810019891762218,13.012789685934314,-0.5672456324244899
4,pitch,madgwick_imu,ekf_rp,0.9289645442408141,-0.025031327006918805,1.7878164011068678,4.401474496459179,-1.192826164149932
4,roll,bf_gate_kp025_ki0,current_kp10_ki002,1.767116244350891,0.7835801191068,3.699167647441143,8.132501605250201,0.7955812600192957
4,pitch,bf_gate_kp025_ki0,current_kp10_ki002,1.9341380777812454,-0.9459762597671736,4.285964946868152,6.008364721400146,0.3418818881252528
4,roll,current_kp06_ki002,current_kp10_ki002,0.5871972353189165,0.08212164619892433,1.2722859550624288,2.822571288932208,0.22709968043678064
4,pitch,current_kp06_ki002,current_kp10_ki002,0.5257082635355947,0.013379714476269578,1.1425424979962486,1.851190567985471,0.33344229893808164
4,roll,current_kp15_ki002,current_kp10_ki002,0.5577485381750952,-0.05245579570257379,1.216684355228668,2.5198128035789464,-0.17724564265075937
4,pitch,current_kp15_ki002,current_kp10_ki002,0.499752610771187,-0.02364268954104384,1.1317492494986585,1.8011146084764103,-0.11658606414226425
