flight,axis,estimator,rms_vs_online_deg,mean_vs_online_deg,p95_abs_vs_online_deg,final_vs_online_deg
2,pitch,wide_kp10_band020,2.626028686688379,1.6161186690718685,5.210811730125644,0.6502821706629521
2,roll,wide_kp10_band050,2.2554134524771596,-1.5864901835870293,4.600745545508499,-1.7669375335133106
2,pitch,wide_kp10_band050,3.175080135946066,1.9319135357992974,6.366029267891555,0.6497248652190778
2,roll,mid_gate_kp10,2.10067935300981,-1.5160661733356113,4.1891565652119835,-1.764517001596837
2,pitch,mid_gate_kp10,3.0166010025422785,1.8339767289355142,5.843312471469139,0.6496452646730498
2,roll,madgwick_imu,2.0660828356722285,-1.4690972768884514,4.008179425896106,-1.8687159887403555
2,pitch,madgwick_imu,2.8060188889461686,1.857553414150555,5.654813985575736,0.6942580062627283
2,roll,ekf_rp,2.374018069480256,-1.7269782204976727,4.8530488924396264,-0.3472424776162675
2,pitch,ekf_rp,2.604486551086534,1.6196854334112905,5.60295792258013,1.512624910883459
3,roll,bf_gate_kp025_ki0,1.4823453660199606,-1.1993902514278483,2.196249991419985,-2.462958779185543
3,pitch,bf_gate_kp025_ki0,1.9987900507083463,-1.4909971987483308,4.046424982607498,-1.0945343731576829
3,roll,current_kp10_ki002,2.581788389320721,-1.9232775416634122,4.677145803988491,-1.8861379987314444
3,pitch,current_kp10_ki002,2.403786000774925,1.6038836115730546,4.6097517509418955,0.11147798854835367
3,roll,current_kp06_ki002,2.3665548892536052,-1.9345931844255468,3.962214603275129,-1.9233104653007342
3,pitch,current_kp06_ki002,2.080048110976161,1.3754381407046172,4.102502312101258,0.0339609917499577
3,roll,current_kp15_ki002,2.820687197807067,-1.9176955837062635,5.356319648596626,-1.889567342133324
3,pitch,current_kp15_ki002,2.687896777934122,1.7437378760609716,5.243491275234208,0.12088323534260681
3,roll,current_kp10_ki0,2.57606018986438,-1.9112601363762196,4.673602100249587,-1.8870460937549023
3,pitch,current_kp10_ki0,2.375333886713117,1.5574032199642247,4.559452351650798,0.07635318894281706
3,roll,wide_kp10_band020,2.394692189201012,-1.8310553604586157,4.161763636937685,-1.886483731588875
3,pitch,wide_kp10_band020,2.1768194971273918,1.4102571994820974,4.188646397343809,0.1109525760449741
3,roll,wide_kp10_band050,2.6803315718138307,-1.9909606533530941,4.823183290151761,-1.885973612346608
3,pitch,wide_kp10_band050,2.4934300454994576,1.6679937859337972,4.826641568925407,0.11161546500081565
3,roll,mid_gate_kp10,2.583076129839277,-1.925663180222497,4.677731807925619,-1.8861385388521161
3,pitch,mid_gate_kp10,2.402255195123826,1.6028829156580238,4.606119390149913,0.11147760484373093
