param_name,file,window,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_rp_err_deg,yaw_tail_slope_abs_dps,conv_time_s,acc_weight_mean
"best_kpki,gate=12/12",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=12/12",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=12/12",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=12/12",04150008.csv,last_static,0.017221614687559398,0.01649289072864763,0.016857252708103516,0.0008389956906865553,0.9110000000000014,0.994341379095503
"best_kpki,gate=12/12",04150008.csv,dynamic,,,,,,0.49629264580533633
"best_kpki,gate=12/18",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_kpki,gate=12/18",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=12/18",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=12/18",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=12/18",04150008.csv,last_static,0.017183183855261273,0.016447760280173983,0.016815472067717628,0.0008300110309069165,0.9110000000000014,0.994341379095503
"best_kpki,gate=12/18",04150008.csv,dynamic,,,,,,0.5132168522619641
"best_kpki,gate=12/24",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_kpki,gate=12/24",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=12/24",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=12/24",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=12/24",04150008.csv,last_static,0.017165553717672137,0.01642466961954212,0.01679511166860713,0.0008256613965860299,0.9110000000000014,0.994341379095503
"best_kpki,gate=12/24",04150008.csv,dynamic,,,,,,0.5240851910459178
"best_kpki,gate=14/12",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_kpki,gate=14/12",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=14/12",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=14/12",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=14/12",04150008.csv,last_static,0.01720696967873504,0.016421375728147745,0.01681417270344139,0.0008312325386202967,0.9110000000000014,0.994341379095503
"best_kpki,gate=14/12",04150008.csv,dynamic,,,,,,0.5139567826512564
"best_kpki,gate=14/18",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_kpki,gate=14/18",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=14/18",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=14/18",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=14/18",04150008.csv,last_static,0.017175724017675684,0.016400118644571936,0.01678792133112381,0.0008251044351220249,0.9110000000000014,0.994341379095503
"best_kpki,gate=14/18",04150008.csv,dynamic,,,,,,0.5262944570072295
"best_kpki,gate=14/24",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_kpki,gate=14/24",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_kpki,gate=14/24",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_kpki,gate=14/24",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_kpki,gate=14/24",04150008.csv,last_static,0.017160741684965838,0.016389111773168683,0.01677492672906726,0.0008220833466769108,0.9110000000000014,0.994341379095503
"best_kpki,gate=14/24",04150008.csv,dynamic,,,,,,0.5343612661810356
