flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms,start_active_s,end_active_s
2,second_angle_ff_off,pitch,example_rapid_step_1,830,1.1,2.0840432602409638,5.576965014739225,12.915898449999998,15.133822380000002,-14.26,11.9,-12.131433,10.984607,76.0,0.9211431224889541,35.62838563938019,35.69257697684217,0.0,0.0,4.875367177506743,97.71084337349397,100.0,31.11111111111111,-3.1229767433734934,20.858177373254872,49.770421699999986,66.49787366000001,36.0,1.0024448490271152,95.53705366989944,95.94761386905101,2.9135492883323355,0.0,99.75490196078431,100.0,43.995098039215684,0.0,0.0,2.502769550002806e-06,113.548,114.648
2,second_angle_ff_off,pitch,example_rapid_step_2,781,1.099,0.39428911395646615,2.086821714730778,4.78754,4.852055,-2.503079,3.5,-2.323567,2.424339,90.0,1.0241776738077295,13.20046664269994,13.355659241015509,0.0,0.0,3.0859599454204143,99.46808510638297,100.0,7.142857142857142,4.674432480153649,11.823111827463268,24.617328999999998,30.527893400000025,39.0,0.9363279213051423,54.62574156021008,54.38631326168093,0.6786142673994812,0.0,100.0,100.0,71.46702557200538,0.0,0.0,1.4640375298314888e-06,34.967,36.066
2,second_angle_ff_off,pitch,example_rapid_step_3,858,1.1,2.0010694032634033,2.3602653021655575,3.697556,5.00004813,0.581486,9.58,0.571405,7.794706,66.0,0.943331300948794,14.95736558686825,15.105698126333968,0.0,0.0,2.510156165890561,99.29742388758783,100.0,55.55555555555556,6.842849583916084,11.608816484453405,22.681501749999995,32.36369757999998,38.0,0.7983043960508214,54.11344490220261,53.40055468846054,1.1519882661873613,0.0,100.0,100.0,79.0167865707434,0.0,0.0,1.453233674203418e-06,66.953,68.053
3,third_higher_angle_p_low_ff_inner_i,roll,example_quiet_center,3210,4.591,-4.562454000000001,4.562454,4.562454,4.562454,-1.8,-1.8,2.712703,3.184787,,,34.18088899999999,32.393425,0.0,0.0,1.787464,100.0,100.0,,-34.176227494704044,34.19441234351131,34.436806749999995,37.61883122999997,,,99.37745699999999,95.19142900000001,4.18603,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999922859506e-06,195.982,200.573
3,third_higher_angle_p_low_ff_inner_i,roll,example_stable_hold,10167,13.802,0.27551403668732166,1.1802784803665598,2.6238229999999967,3.69767,-6.649846,10.380021,-7.549114,5.79172,36.0,0.7648619383670955,8.437642537385463,8.379977076717603,0.0,0.0,0.8518731124527362,98.44993715961458,100.0,18.863636363636363,0.8853168337759418,6.471285339788413,13.9873308,20.13036126,41.0,0.7600284046826636,27.52602076480616,26.532269301948755,4.382092203667242,0.0,95.28291795914001,100.0,52.65803829286555,0.0,0.0,8.772391574793576e-07,70.159,83.961
3,third_higher_angle_p_low_ff_inner_i,roll,example_large_angle,1132,1.539,0.6846798454063603,7.062049434554023,14.565123,18.65184,-1.04,20.0,1.412545,21.878916,-400.0,0.5071900046854871,50.66854559785398,50.140550223869454,0.0,0.0,6.2221686309982545,98.66310160427807,100.0,36.84210526315789,0.2875467208480557,30.877311666442637,67.56739665,94.72020227000002,30.0,0.9047523743615726,126.64428416570311,126.59697483807935,2.8468381400081357,0.0,99.55035971223022,100.0,56.83453237410072,0.0,0.0,3.229583875817008e-06,30.867,32.406
3,third_higher_angle_p_low_ff_inner_i,roll,example_rapid_step_1,828,1.1,-1.124076266908212,10.874878675609871,23.827091,29.581590870000067,-15.08,20.0,-1.706102,24.589174,107.0,0.9876930509725467,76.98748952452466,77.21163763907916,0.0,0.0,15.953447524230837,88.98408812729498,100.0,36.84210526315789,-8.232045578502419,57.6447907828379,127.44996099999999,152.85254282000002,47.0,0.9354226849937345,235.81417538050988,236.34363741276042,3.6156932711786665,0.0,98.8943488943489,100.0,46.56019656019656,0.0,0.0,6.411700506641205e-06,50.455,51.555
3,third_higher_angle_p_low_ff_inner_i,roll,example_rapid_step_2,856,1.095,-1.68540297546729,7.271577737956487,17.877331,27.448658,-15.08,20.0,-3.85552,20.695396,82.0,0.8853122331562417,48.67715231684855,51.6282013745655,0.0,0.0,22.58785322499814,96.95550351288055,100.0,57.14285714285714,2.1579721787383166,33.56277924358781,58.55634675,108.03419090000001,38.0,0.8581434667444239,137.93539407527572,137.6073910388886,3.887939968596848,0.0,99.88179669030734,100.0,75.65011820330969,0.0,0.0,3.601012317895463e-06,51.319,52.414
3,third_higher_angle_p_low_ff_inner_i,roll,example_rapid_step_3,837,1.1,-2.442765927120669,10.506357815720742,20.19758,24.2067762,-20.0,20.0,-21.895134,20.629919,77.0,1.0028222657184798,73.63578350540045,74.59513942139446,0.0,0.0,19.262967034973027,95.6782713085234,100.0,25.0,2.4729406081242513,53.00808194062088,104.8100354,123.49517243999999,29.0,0.8060803025661551,217.55750263591693,217.33313094881655,3.5781947093429447,0.0,99.76076555023924,100.0,64.71291866028707,0.0,0.0,5.535051770360016e-06,45.865,46.965
3,third_higher_angle_p_low_ff_inner_i,pitch,example_quiet_center,4685,6.457,-0.008226029882604043,0.4497762277787542,0.847469,1.244294,-0.487733,3.22033,-0.87561,2.866481,30.0,0.7463284513497513,3.149865808861928,3.1484336185200537,0.0,0.0,0.5920108241811967,98.00759013282733,100.0,8.13953488372093,-0.30245985229455713,6.276964936291049,12.238767800000003,18.567142839999992,18.0,0.3907940212161167,30.73035168153866,30.757128851629645,1.112208758057009,0.0,100.0,100.0,51.089199724833755,0.0,0.0,9.085153897682103e-07,3.379,9.836
