model,validation,group,value,count,total,coverage,direction_p50,direction_p90,direction_p99,direction_mean,distance_p50,distance_p90,distance_p99,distance_mean,relative_distance_p50,relative_distance_p90,catastrophic_rate
double_sphere,base_to_2,distance_m,0.5,31895,31903,0.9997492398833966,5.1553308843572925,12.416286751325295,20.610517767105144,6.006718332600982,0.03045787774766262,0.1294210981117518,0.21981776861751876,0.05185523810859845,0.06091575549532524,0.2588421962235036,0.002320112870355855
double_sphere,base_to_2,distance_m,1.0,21643,21706,0.9970975767069014,2.713102418020134,7.33749619338358,23.337447780965654,3.8651848507043236,0.06134550242493675,0.1674633474637252,0.32182365659041007,0.07922455181399249,0.06134550242493675,0.1674633474637252,0.005960356697315529
double_sphere,base_to_2,distance_m,1.5,17115,17184,0.9959846368715084,3.241246169930948,7.469614992599325,21.29110530381863,4.12004928840108,0.08794232269853763,0.2791494733286413,0.634592946270892,0.12463157564133544,0.05862821513235842,0.1860996488857609,0.0053754016944201
double_sphere,base_to_2,distance_m,2.0,26978,27202,0.9917653113741637,3.192376359108323,6.992604562894422,19.99151037961852,3.9867665387057856,0.2266560881037537,0.7583021329049021,1.9048738850903355,0.33763616531268276,0.11332804405187685,0.37915106645245106,0.005745422195863296
double_sphere,base_to_2,distance_m,2.5,28437,28742,0.9893883515412984,2.421810454397536,6.067176899377725,19.375859691385557,3.2914161674254556,0.18484123776426342,0.6846827314183264,2.1112212789140314,0.30970424018163334,0.07393649510570537,0.27387309256733056,0.0042198544150226815
double_sphere,base_to_2,distance_m,3.0,23808,24200,0.9838016528925619,1.6446731794411362,5.548525903419026,16.025444104186214,2.609926684621119,0.2713435040548817,0.6989195856123277,1.9491238756959863,0.3555946987681874,0.09044783468496057,0.23297319520410922,0.003528225806451613
double_sphere,base_to_2,distance_m,3.5,27941,28901,0.9667831562921698,1.854079278372663,5.870598206071104,17.625248107982898,2.835564752392343,0.3280970951044182,0.9907920503418373,2.02085862957046,0.4537227840702497,0.09374202717269091,0.28308344295481064,0.0033642317740954155
double_sphere,base_to_2,beacon_camera,Front,74909,75646,0.9902572508790948,2.554803717439784,7.79837081706457,17.958826026332527,3.6723552384791995,0.1332054731063026,0.6155275939497684,1.7883345605189584,0.25377909853641584,0.07402872323616776,0.2558164170404456,0.002750003337382691
double_sphere,base_to_2,beacon_camera,Center,47051,47607,0.9883210452244418,2.7457283132755883,9.584039735309746,26.953358677101285,4.416093838106959,0.10493757542099513,0.3993317876749636,0.8436774124982944,0.16657839294305146,0.07909164828418547,0.21280109401929792,0.00865018809377059
double_sphere,base_to_2,beacon_camera,Back,55857,56585,0.9871343995758594,2.7828756716735064,7.404048543021357,16.4926372239844,3.6772055295739836,0.1653989279583481,0.8051279980394033,2.0504429243014606,0.31711165291168636,0.08181380186835419,0.3199379695061182,0.0024168859766904773
double_sphere,base_to_2,log_id,1,31895,31903,0.9997492398833966,5.1553308843572925,12.416286751325295,20.610517767105144,6.006718332600982,0.03045787774766262,0.1294210981117518,0.21981776861751876,0.05185523810859845,0.06091575549532524,0.2588421962235036,0.002320112870355855
double_sphere,base_to_2,log_id,3,21643,21706,0.9970975767069014,2.713102418020134,7.33749619338358,23.337447780965654,3.8651848507043236,0.06134550242493675,0.1674633474637252,0.32182365659041007,0.07922455181399249,0.06134550242493675,0.1674633474637252,0.005960356697315529
double_sphere,base_to_2,log_id,5,17115,17184,0.9959846368715084,3.241246169930948,7.469614992599325,21.29110530381863,4.12004928840108,0.08794232269853763,0.2791494733286413,0.634592946270892,0.12463157564133544,0.05862821513235842,0.1860996488857609,0.0053754016944201
double_sphere,base_to_2,log_id,7,26978,27202,0.9917653113741637,3.192376359108323,6.992604562894422,19.99151037961852,3.9867665387057856,0.2266560881037537,0.7583021329049021,1.9048738850903355,0.33763616531268276,0.11332804405187685,0.37915106645245106,0.005745422195863296
double_sphere,base_to_2,log_id,9,28437,28742,0.9893883515412984,2.421810454397536,6.067176899377725,19.375859691385557,3.2914161674254556,0.18484123776426342,0.6846827314183264,2.1112212789140314,0.30970424018163334,0.07393649510570537,0.27387309256733056,0.0042198544150226815
double_sphere,base_to_2,log_id,11,23808,24200,0.9838016528925619,1.6446731794411362,5.548525903419026,16.025444104186214,2.609926684621119,0.2713435040548817,0.6989195856123277,1.9491238756959863,0.3555946987681874,0.09044783468496057,0.23297319520410922,0.003528225806451613
double_sphere,base_to_2,log_id,13,27941,28901,0.9667831562921698,1.854079278372663,5.870598206071104,17.625248107982898,2.835564752392343,0.3280970951044182,0.9907920503418373,2.02085862957046,0.4537227840702497,0.09374202717269091,0.28308344295481064,0.0033642317740954155
double_sphere,base_to_2,image_region,center,12328,12397,0.9944341372912802,2.5092349502769506,6.075904462382397,10.136592541710584,3.0337993345623686,0.13984952447217103,0.5288190228370738,1.19832382408483,0.225297008729983,0.0704184361405604,0.2507069988985756,0.0017845554834523037
double_sphere,base_to_2,image_region,edge,165489,167441,0.9883421623138897,2.687735554069201,8.324691322800048,20.033071540880407,3.9330171842535635,0.13032307825195177,0.6219053109130658,1.806757753609123,0.25248483302027763,0.0782900212756682,0.26205358728331163,0.0043869985316244585
double_sphere,base_to_2,pose_change,low,89135,89922,0.9912479704632904,2.597444589228274,8.078419898076442,19.863557741301868,3.821793219676057,0.12248193639489635,0.525194392128396,1.608869885823253,0.22359764902327287,0.07012305851837786,0.23289889397349253,0.0037246872721153307
double_sphere,base_to_2,pose_change,high,88682,89916,0.9862760798967926,2.745263906669888,8.149474528363118,19.12513537582875,3.9198058271757237,0.14100278158954566,0.6957819547068371,1.9228951527021387,0.2777401006926606,0.08643485549754881,0.29033839312602777,0.00469091811190546
kb8,base_to_2,overall,all,177851,179838,0.9889511671615565,2.5169794378579144,7.975504923489695,19.459635757550256,3.7505010940358057,0.1280000191913685,0.6101407684535483,1.7794813706214052,0.24932433322521164,0.07625906903084145,0.257602591375349,0.004599355640395612
kb8,base_to_2,pair_type,same,145158,146476,0.9910019388841858,2.626343683158777,8.402314701212289,19.07402463947346,3.8737976941947934,0.11551447065390846,0.6041171463704368,1.783272625100817,0.2405494235042886,0.07921912161901982,0.264415155252839,0.0035891924661403435
kb8,base_to_2,pair_type,cross,32693,33362,0.9799472453689827,2.096757435781051,6.148991992469757,26.993424897276405,3.2030601162767036,0.18696393611158868,0.6430457636179312,1.7679377194805754,0.2882852222616947,0.06736648587610526,0.21425604415143917,0.009084513504419906
kb8,base_to_2,distance_m,0.5,31895,31903,0.9997492398833966,5.165314155021385,12.069983421765755,20.025852666204667,5.912340215483297,0.028395554406657586,0.1235001834815022,0.2206778709896741,0.050213495550988904,0.05679110881331517,0.2470003669630044,0.0020692898573444114
kb8,base_to_2,distance_m,1.0,21642,21706,0.9970515064958998,2.529215819663363,6.777214982102348,24.457221677291475,3.6959800034676173,0.05729124788987938,0.15939798378509298,0.3299934871004238,0.07501883933039186,0.05729124788987938,0.15939798378509298,0.00711579336475372
kb8,base_to_2,distance_m,1.5,17115,17184,0.9959846368715084,2.9942759167131596,7.46409301114906,21.581883210287298,3.978184788864107,0.08203990574020037,0.2754267101468241,0.6305784128492118,0.11984777829490165,0.054693270493466915,0.18361780676454945,0.0057259713701431495
kb8,base_to_2,distance_m,2.0,26981,27202,0.9918755973825454,2.8888182388822323,6.7180312110396905,19.404022495567894,3.7383128254768425,0.2239025344937109,0.7638087482912268,1.8388155019616468,0.33641961695278083,0.11195126724685545,0.3819043741456134,0.00615247766947111
kb8,base_to_2,distance_m,2.5,28443,28742,0.9895971052814696,2.244879771423989,6.121787428534576,19.83722613317431,3.2331779714981357,0.18704500706331073,0.6801840374501632,2.137151660162233,0.3084379133913617,0.07481800282532429,0.27207361498006527,0.005308863340716521
kb8,base_to_2,distance_m,3.0,23804,24200,0.9836363636363636,1.5940752955205348,5.362888647211985,16.19674559680847,2.5567323749532522,0.27187065493699314,0.6972170726189824,1.9820553854210472,0.3565293795668306,0.09062355164566438,0.2324056908729941,0.003990925894807595
kb8,base_to_2,distance_m,3.5,27971,28901,0.9678211826580395,1.7797431499634258,5.6984083042570175,17.354910495458373,2.7419859913899227,0.3262918398479622,0.9880166204161736,2.086602218669424,0.4551001928687005,0.09322623995656062,0.2822904629760496,0.0031461156197490256
kb8,base_to_2,beacon_camera,Front,75081,75812,0.9903577270089168,2.4203682978348313,7.898543376777496,17.723192521478296,3.5796894707431988,0.1323253811787315,0.6083856863539472,1.7812589467659452,0.2526632541721473,0.07403623274190098,0.2504565231404796,0.002903530853345054
kb8,base_to_2,beacon_camera,Center,53139,53695,0.989645218362976,2.5763029167033387,9.031430196133527,26.71800723555256,4.192663882329954,0.08669267327423513,0.3864743785553978,0.8615992994272338,0.15212865043409768,0.06751956633005474,0.20829916392671158,0.008505993714597565
kb8,base_to_2,beacon_camera,Back,49631,50331,0.9860920704933341,2.608528697714206,7.154033717996027,15.506085307705561,3.535486669205949,0.2017346508623925,0.8575339053282498,2.14232481997691,0.34833889799763457,0.09135628102449811,0.34242435649258124,0.0029820072132336643
kb8,base_to_2,log_id,1,31895,31903,0.9997492398833966,5.165314155021385,12.069983421765755,20.025852666204667,5.912340215483297,0.028395554406657586,0.1235001834815022,0.2206778709896741,0.050213495550988904,0.05679110881331517,0.2470003669630044,0.0020692898573444114
kb8,base_to_2,log_id,3,21642,21706,0.9970515064958998,2.529215819663363,6.777214982102348,24.457221677291475,3.6959800034676173,0.05729124788987938,0.15939798378509298,0.3299934871004238,0.07501883933039186,0.05729124788987938,0.15939798378509298,0.00711579336475372
kb8,base_to_2,log_id,5,17115,17184,0.9959846368715084,2.9942759167131596,7.46409301114906,21.581883210287298,3.978184788864107,0.08203990574020037,0.2754267101468241,0.6305784128492118,0.11984777829490165,0.054693270493466915,0.18361780676454945,0.0057259713701431495
kb8,base_to_2,log_id,7,26981,27202,0.9918755973825454,2.8888182388822323,6.7180312110396905,19.404022495567894,3.7383128254768425,0.2239025344937109,0.7638087482912268,1.8388155019616468,0.33641961695278083,0.11195126724685545,0.3819043741456134,0.00615247766947111
kb8,base_to_2,log_id,9,28443,28742,0.9895971052814696,2.244879771423989,6.121787428534576,19.83722613317431,3.2331779714981357,0.18704500706331073,0.6801840374501632,2.137151660162233,0.3084379133913617,0.07481800282532429,0.27207361498006527,0.005308863340716521
kb8,base_to_2,log_id,11,23804,24200,0.9836363636363636,1.5940752955205348,5.362888647211985,16.19674559680847,2.5567323749532522,0.27187065493699314,0.6972170726189824,1.9820553854210472,0.3565293795668306,0.09062355164566438,0.2324056908729941,0.003990925894807595
kb8,base_to_2,log_id,13,27971,28901,0.9678211826580395,1.7797431499634258,5.6984083042570175,17.354910495458373,2.7419859913899227,0.3262918398479622,0.9880166204161736,2.086602218669424,0.4551001928687005,0.09322623995656062,0.2822904629760496,0.0031461156197490256
kb8,base_to_2,image_region,center,12328,12397,0.9944341372912802,2.436009998712117,6.025648963713114,10.211425992342749,2.984979011028552,0.13845020210983217,0.5193726707865215,1.190479523887395,0.22207450624176053,0.0696190509698369,0.2454633846439342,0.002109020116807268
kb8,base_to_2,image_region,edge,165523,167441,0.9885452189129306,2.5232729021781846,8.172412067364618,20.054007069308746,3.8075164709883342,0.12712627629433548,0.6201166080180187,1.8086375422809216,0.25135387514417146,0.07682147469060692,0.2586301136495379,0.00478483352766685
kb8,base_to_2,pose_change,low,89143,89922,0.9913369364560397,2.4601217818182985,7.953743334254376,19.933648163422124,3.707817252933065,0.11919830186299674,0.5186846723976771,1.577000615799151,0.22119492004942387,0.06863533212820094,0.2287118288435136,0.004004801274356932
kb8,base_to_2,pose_change,high,88708,89916,0.9865652386672005,2.5753657322781347,8.000514928124574,18.90002978333855,3.7933942451317786,0.13880912013538393,0.6932936164249959,1.9439455853462573,0.27759168542263735,0.08538853867091678,0.28837891929268733,0.005196825539973846
double_sphere_lut,base_to_2,overall,all,177615,179838,0.9876388749874887,2.7290932576102827,8.195460775367291,20.022913974245093,3.934648320792975,0.13426114081184704,0.6399412699645566,1.8145827989491123,0.2604578402307726,0.08027654984286288,0.2670198858896526,0.004256397263744616
double_sphere_lut,base_to_2,pair_type,same,144914,146476,0.9893361369780715,2.894753938709075,8.811665813336898,19.827777501978655,4.118431256197697,0.12238582100382178,0.6333128011441796,1.8512719215534994,0.2532788148228065,0.0844307986628775,0.2750955599892913,0.0033123093696951294
double_sphere_lut,base_to_2,pair_type,cross,32701,33362,0.9801870391463342,2.1757427915001153,5.7541076228423025,24.348340902441947,3.1202169486257674,0.18482116721892217,0.6694750203224293,1.7328280135802556,0.2922715856199044,0.0669742608406878,0.21957815732257302,0.00844010886517232
double_sphere_lut,base_to_2,distance_m,0.5,31895,31903,0.9997492398833966,4.986525073628538,12.675006048102786,21.855275191868255,6.07701553312343,0.03053172593847131,0.12748873780079534,0.21579637567474919,0.05097662335457398,0.06106345187694262,0.2549774756015907,0.002853111773005173
